Player,Team,Opp,Date,Season,Week,Status,Injury,Specific_Inj,Side
A.J. Derby,DEN,KAN,2016-12-25,2016,16,Out,concussion,,
A.J. Derby,DEN,OAK,2017-01-01,2016,17,Out,concussion,,
A.J. Derby,DEN,CIN,2017-11-19,2017,11,Out,Shoulder,,
A.J. Derby,MIA,NWE,2018-09-30,2018,4,Out,Foot,,
A.J. Derby,MIA,CIN,2018-10-07,2018,5,Out,Foot,,
A.J. Derby,MIA,CHI,2018-10-14,2018,6,Questionable,Foot,,
A.J. Derby,MIA,DET,2018-10-21,2018,7,Questionable,Foot,,
A.J. Derby,MIA,HOU,2018-10-25,2018,8,Questionable,Foot,,
A.J. Derby,MIA,NYJ,2018-11-04,2018,9,Questionable,Foot,,
A.J. Derby,MIA,GNB,2018-11-11,2018,10,Questionable,Foot,,
A.J. Derby,MIA,IND,2018-11-25,2018,12,Injured Reserve,Foot,,
A.J. Derby,MIA,BUF,2018-12-02,2018,13,Injured Reserve,Foot,,
A.J. Derby,MIA,NWE,2018-12-09,2018,14,Injured Reserve,Foot,,
A.J. Derby,MIA,MIN,2018-12-16,2018,15,Injured Reserve,Foot,,
A.J. Derby,MIA,JAX,2018-12-23,2018,16,Injured Reserve,Foot,,
A.J. Derby,MIA,BUF,2018-12-30,2018,17,Injured Reserve,Foot,,
