Player,Team,Opp,Date,Season,Week,Status,Injury,Specific_Inj,Side
Adam Butler,NWE,IND,2018-10-04,2018,5,Questionable,Knee,,
Adam Butler,NWE,SEA,2020-09-20,2020,2,Questionable,Shoulder,,
Adam Butler,NWE,LVR,2020-09-27,2020,3,Questionable,Shoulder,,
Adam Butler,NWE,KAN,2020-10-05,2020,4,Questionable,Shoulder,,
Adam Butler,NWE,DEN,2020-10-18,2020,6,Questionable,Shoulder,,
Adam Butler,NWE,SFO,2020-10-25,2020,7,Questionable,Elbow,,
Adam Butler,NWE,HOU,2020-11-22,2020,11,Questionable,Shoulder,,
Adam Butler,NWE,ARI,2020-11-29,2020,12,Questionable,Shoulder,,
Adam Butler,NWE,LAC,2020-12-06,2020,13,Questionable,Shoulder,,
Adam Butler,NWE,LAR,2020-12-10,2020,14,Questionable,Shoulder,,
Adam Butler,NWE,MIA,2020-12-20,2020,15,Questionable,Shoulder,,
Adam Butler,NWE,BUF,2020-12-28,2020,16,Questionable,Shoulder,,
Adam Butler,NWE,NYJ,2021-01-03,2020,17,Questionable,Shoulder,,
