Player,Team,Opp,Date,Season,Week,Status,Injury,Specific_Inj,Side
Adrian Colbert,SFO,IND,2017-10-08,2017,5,Out,Hamstring,,
Adrian Colbert,SFO,WAS,2017-10-15,2017,6,Questionable,Hamstring,,
Adrian Colbert,SFO,SEA,2017-11-26,2017,12,Out,Thumb,,
Adrian Colbert,SFO,CHI,2017-12-03,2017,13,Questionable,Thumb,,
Adrian Colbert,SFO,DET,2018-09-16,2018,2,Questionable,Hamstring,,
Adrian Colbert,SFO,LAC,2018-09-30,2018,4,Questionable,Hip,,
Adrian Colbert,SFO,ARI,2018-10-28,2018,8,Injured Reserve,Ankle,,
Adrian Colbert,SFO,OAK,2018-11-01,2018,9,Injured Reserve,Ankle,,
Adrian Colbert,SFO,NYG,2018-11-12,2018,10,Injured Reserve,Ankle,,
Adrian Colbert,SFO,TAM,2018-11-25,2018,12,Injured Reserve,Ankle,,
Adrian Colbert,SFO,SEA,2018-12-02,2018,13,Injured Reserve,Ankle,,
Adrian Colbert,SFO,DEN,2018-12-09,2018,14,Injured Reserve,Ankle,,
Adrian Colbert,SFO,SEA,2018-12-16,2018,15,Injured Reserve,Ankle,,
Adrian Colbert,SFO,CHI,2018-12-23,2018,16,Injured Reserve,Ankle,,
Adrian Colbert,SFO,LAR,2018-12-30,2018,17,Injured Reserve,Ankle,,
Adrian Colbert,SFO,TAM,2019-09-08,2019,1,Injured Reserve,,,
Adrian Colbert,NYG,CHI,2020-09-20,2020,2,Out,Quadricep,,
Adrian Colbert,NYG,SFO,2020-09-27,2020,3,Doubtful,Quadricep,,
Adrian Colbert,NYG,DAL,2020-10-11,2020,5,Questionable,Neck,,
Adrian Colbert,NYG,WAS,2020-10-18,2020,6,Questionable,Shoulder,,
Adrian Colbert,NYG,PHI,2020-10-22,2020,7,Out,Shoulder,,
Adrian Colbert,NYG,TAM,2020-11-02,2020,8,Out,Shoulder,,
Adrian Colbert,NYG,WAS,2020-11-08,2020,9,Injured Reserve,,,
Adrian Colbert,NYG,PHI,2020-11-15,2020,10,Injured Reserve,,,
Adrian Colbert,NYG,CIN,2020-11-29,2020,12,Injured Reserve,,,
Adrian Colbert,NYG,SEA,2020-12-06,2020,13,Injured Reserve,,,
Adrian Colbert,NYG,ARI,2020-12-13,2020,14,Injured Reserve,,,
Adrian Colbert,NYG,CLE,2020-12-20,2020,15,Injured Reserve,,,
