Player,Team,Opp,Date,Season,Week,Status,Injury,Specific_Inj,Side
Alani Fua,ARI,LAR,2016-10-02,2016,4,Injured Reserve,Knee,,
Alani Fua,ARI,SFO,2016-10-06,2016,5,Injured Reserve,Knee,,
Alani Fua,ARI,NYJ,2016-10-17,2016,6,Injured Reserve,Knee,,
Alani Fua,ARI,SEA,2016-10-23,2016,7,Injured Reserve,Knee,,
Alani Fua,ARI,CAR,2016-10-30,2016,8,Injured Reserve,Knee,,
Alani Fua,ARI,SFO,2016-11-13,2016,10,Injured Reserve,Knee,,
Alani Fua,ARI,MIN,2016-11-20,2016,11,Injured Reserve,Knee,,
Alani Fua,ARI,ATL,2016-11-27,2016,12,Injured Reserve,Knee,,
Alani Fua,ARI,WAS,2016-12-04,2016,13,Injured Reserve,Knee,,
Alani Fua,ARI,MIA,2016-12-11,2016,14,Injured Reserve,Knee,,
Alani Fua,ARI,NOR,2016-12-18,2016,15,Injured Reserve,Knee,,
Alani Fua,ARI,SEA,2016-12-24,2016,16,Injured Reserve,Knee,,
Alani Fua,ARI,LAR,2017-01-01,2016,17,Injured Reserve,Knee,,
Alani Fua,ARI,DET,2017-09-10,2017,1,Injured Reserve,Knee,,
Alani Fua,ARI,IND,2017-09-17,2017,2,Injured Reserve,Knee,,
Alani Fua,ARI,DAL,2017-09-25,2017,3,Injured Reserve,Knee,,
Alani Fua,ARI,SFO,2017-10-01,2017,4,Injured Reserve,Knee,,
Alani Fua,ARI,PHI,2017-10-08,2017,5,Injured Reserve,Knee,,
Alani Fua,ARI,TAM,2017-10-15,2017,6,Injured Reserve,Knee,,
Alani Fua,ARI,LAR,2017-10-22,2017,7,Injured Reserve,Knee,,
Alani Fua,ARI,SFO,2017-11-05,2017,9,Injured Reserve,Knee,,
Alani Fua,ARI,SEA,2017-11-09,2017,10,Injured Reserve,Knee,,
Alani Fua,ARI,HOU,2017-11-19,2017,11,Injured Reserve,Knee,,
Alani Fua,ARI,JAX,2017-11-26,2017,12,Injured Reserve,Knee,,
Alani Fua,ARI,LAR,2017-12-03,2017,13,Injured Reserve,Knee,,
Alani Fua,ARI,TEN,2017-12-10,2017,14,Injured Reserve,Knee,,
Alani Fua,ARI,WAS,2017-12-17,2017,15,Injured Reserve,Knee,,
Alani Fua,ARI,NYG,2017-12-24,2017,16,Injured Reserve,Knee,,
Alani Fua,ARI,SEA,2017-12-31,2017,17,Injured Reserve,Knee,,
