Player,Team,Opp,Date,Season,Week,Status,Injury,Specific_Inj,Side
Andre Hal,HOU,GNB,2016-12-04,2016,13,Questionable,illness,,
Andre Hal,HOU,NWE,2018-09-09,2018,1,Injured Reserve,Illness,,
Andre Hal,HOU,TEN,2018-09-16,2018,2,Injured Reserve,Illness,,
Andre Hal,HOU,NYG,2018-09-23,2018,3,Injured Reserve,Illness,,
Andre Hal,HOU,IND,2018-09-30,2018,4,Injured Reserve,Illness,,
Andre Hal,HOU,DAL,2018-10-07,2018,5,Injured Reserve,Illness,,
Andre Hal,HOU,BUF,2018-10-14,2018,6,Injured Reserve,Illness,,
Andre Hal,HOU,MIA,2018-10-25,2018,8,Out,Shoulder,,
Andre Hal,HOU,DEN,2018-11-04,2018,9,Questionable,Shoulder,,
Andre Hal,HOU,NYJ,2018-12-15,2018,15,Questionable,Ankle,,
