Player,Team,Opp,Date,Season,Week,Status,Injury,Specific_Inj,Side
Andrew DePaola,OAK,DEN,2018-09-16,2018,2,Injured Reserve,Knee,,
Andrew DePaola,OAK,MIA,2018-09-23,2018,3,Injured Reserve,Knee,,
Andrew DePaola,OAK,CLE,2018-09-30,2018,4,Injured Reserve,Knee,,
Andrew DePaola,OAK,LAC,2018-10-07,2018,5,Injured Reserve,Knee,,
Andrew DePaola,OAK,SEA,2018-10-14,2018,6,Injured Reserve,Knee,,
Andrew DePaola,OAK,IND,2018-10-28,2018,8,Injured Reserve,Knee,,
Andrew DePaola,OAK,SFO,2018-11-01,2018,9,Injured Reserve,Knee,,
Andrew DePaola,OAK,LAC,2018-11-11,2018,10,Injured Reserve,Knee,,
Andrew DePaola,OAK,ARI,2018-11-18,2018,11,Injured Reserve,Knee,,
Andrew DePaola,OAK,BAL,2018-11-25,2018,12,Injured Reserve,Knee,,
Andrew DePaola,OAK,KAN,2018-12-02,2018,13,Injured Reserve,Knee,,
Andrew DePaola,OAK,PIT,2018-12-09,2018,14,Injured Reserve,Knee,,
Andrew DePaola,OAK,CIN,2018-12-16,2018,15,Injured Reserve,Knee,,
Andrew DePaola,OAK,DEN,2018-12-24,2018,16,Injured Reserve,Knee,,
Andrew DePaola,OAK,KAN,2018-12-30,2018,17,Injured Reserve,Knee,,
