Player,Team,Opp,Date,Season,Week,Status,Injury,Specific_Inj,Side
Andrew Sendejo,MIN,CHI,2016-10-31,2016,8,Out,ankle,,
Andrew Sendejo,MIN,DET,2016-11-06,2016,9,Questionable,ankle,,
Andrew Sendejo,MIN,CHI,2017-01-01,2016,17,Out,knee,,
Andrew Sendejo,MIN,GNB,2017-10-15,2017,6,Questionable,Groin,,
Andrew Sendejo,MIN,LAR,2017-11-19,2017,11,Out,Groin,,
Andrew Sendejo,MIN,DET,2017-11-23,2017,12,Questionable,Groin,,
Andrew Sendejo,MIN,GNB,2017-12-23,2017,16,Questionable,Ankle,,
Andrew Sendejo,MIN,ARI,2018-10-14,2018,6,Injured Reserve,Groin,,
Andrew Sendejo,MIN,NYJ,2018-10-21,2018,7,Injured Reserve,Groin,,
Andrew Sendejo,MIN,NOR,2018-10-28,2018,8,Injured Reserve,Groin,,
Andrew Sendejo,MIN,DET,2018-11-04,2018,9,Injured Reserve,Groin,,
Andrew Sendejo,MIN,CHI,2018-11-18,2018,11,Injured Reserve,Groin,,
Andrew Sendejo,MIN,GNB,2018-11-25,2018,12,Injured Reserve,Groin,,
Andrew Sendejo,MIN,NWE,2018-12-02,2018,13,Injured Reserve,Groin,,
Andrew Sendejo,MIN,SEA,2018-12-10,2018,14,Injured Reserve,Groin,,
Andrew Sendejo,MIN,MIA,2018-12-16,2018,15,Injured Reserve,Groin,,
Andrew Sendejo,MIN,DET,2018-12-23,2018,16,Injured Reserve,Groin,,
Andrew Sendejo,MIN,CHI,2018-12-30,2018,17,Injured Reserve,Groin,,
Andrew Sendejo,MIN,DAL,2019-11-10,2019,10,Out,Groin,,
Andrew Sendejo,MIN,DEN,2019-11-17,2019,11,Questionable,Groin,,
Andrew Sendejo,PHI,CHI,2019-11-03,2019,9,Questionable,Groin,,
Andrew Sendejo,CLE,JAX,2020-11-29,2020,12,Questionable,Groin,,
Andrew Sendejo,CLE,NYG,2020-12-20,2020,15,Out,Concussion,,
Andrew Sendejo,CLE,PIT,2021-01-03,2020,17,C19,,,
