Player,Team,Opp,Date,Season,Week,Status,Injury,Specific_Inj,Side
Andy Levitre,ATL,DAL,2017-11-12,2017,10,Questionable,Knee,,
Andy Levitre,ATL,NOR,2017-12-07,2017,14,Out,Tricep,,
Andy Levitre,ATL,TAM,2017-12-18,2017,15,Out,Tricep,,
Andy Levitre,ATL,NOR,2017-12-24,2017,16,Questionable,Tricep,,
Andy Levitre,ATL,NOR,2018-09-23,2018,3,Injured Reserve,Tricep,,
Andy Levitre,ATL,CIN,2018-09-30,2018,4,Injured Reserve,Tricep,,
Andy Levitre,ATL,PIT,2018-10-07,2018,5,Injured Reserve,Tricep,,
Andy Levitre,ATL,TAM,2018-10-14,2018,6,Injured Reserve,Tricep,,
Andy Levitre,ATL,NYG,2018-10-22,2018,7,Injured Reserve,Tricep,,
Andy Levitre,ATL,WAS,2018-11-04,2018,9,Injured Reserve,Tricep,,
Andy Levitre,ATL,CLE,2018-11-11,2018,10,Injured Reserve,Tricep,,
Andy Levitre,ATL,DAL,2018-11-18,2018,11,Injured Reserve,Tricep,,
Andy Levitre,ATL,NOR,2018-11-22,2018,12,Injured Reserve,Tricep,,
Andy Levitre,ATL,BAL,2018-12-02,2018,13,Injured Reserve,Tricep,,
Andy Levitre,ATL,GNB,2018-12-09,2018,14,Injured Reserve,Tricep,,
Andy Levitre,ATL,ARI,2018-12-16,2018,15,Injured Reserve,Tricep,,
Andy Levitre,ATL,CAR,2018-12-23,2018,16,Injured Reserve,Tricep,,
Andy Levitre,ATL,TAM,2018-12-30,2018,17,Injured Reserve,Tricep,,
