Player,Team,Opp,Date,Season,Week,Status,Injury,Specific_Inj,Side
Asa Jackson,SFO,WAS,2017-10-15,2017,6,Injured Reserve,Hamstring,,
Asa Jackson,SFO,DAL,2017-10-22,2017,7,Injured Reserve,Hamstring,,
Asa Jackson,SFO,PHI,2017-10-29,2017,8,Injured Reserve,Hamstring,,
Asa Jackson,SFO,ARI,2017-11-05,2017,9,Injured Reserve,Hamstring,,
Asa Jackson,SFO,NYG,2017-11-12,2017,10,Injured Reserve,Hamstring,,
Asa Jackson,SFO,SEA,2017-11-26,2017,12,Injured Reserve,Hamstring,,
Asa Jackson,SFO,CHI,2017-12-03,2017,13,Injured Reserve,Hamstring,,
Asa Jackson,SFO,HOU,2017-12-10,2017,14,Injured Reserve,Hamstring,,
Asa Jackson,SFO,TEN,2017-12-17,2017,15,Injured Reserve,Hamstring,,
Asa Jackson,SFO,JAX,2017-12-24,2017,16,Injured Reserve,Hamstring,,
Asa Jackson,SFO,LAR,2017-12-31,2017,17,Injured Reserve,Hamstring,,
