Player,Team,Opp,Date,Season,Week,Status,Injury,Specific_Inj,Side
Austin Ekeler,LAC,NYJ,2017-12-24,2017,16,Questionable,Hand,,
Austin Ekeler,LAC,KAN,2018-12-13,2018,15,Out,Neck,,
Austin Ekeler,LAC,BAL,2018-12-22,2018,16,Doubtful,Neck,,
Austin Ekeler,LAC,NOR,2020-10-12,2020,5,Injured Reserve,,,
Austin Ekeler,LAC,JAX,2020-10-25,2020,7,Injured Reserve,,,
Austin Ekeler,LAC,DEN,2020-11-01,2020,8,Injured Reserve,,,
Austin Ekeler,LAC,LVR,2020-11-08,2020,9,Injured Reserve,,,
Austin Ekeler,LAC,MIA,2020-11-15,2020,10,Injured Reserve,,,
Austin Ekeler,LAC,NYJ,2020-11-22,2020,11,Injured Reserve,,,
Austin Ekeler,LAC,BUF,2020-11-29,2020,12,Injured Reserve,,,
Austin Ekeler,LAC,LVR,2020-12-17,2020,15,Questionable,Quadricep,,
