Player,Team,Opp,Date,Season,Week,Status,Injury,Specific_Inj,Side
Bashaud Breeland,WAS,CLE,2016-10-02,2016,4,Out,ankle,,
Bashaud Breeland,WAS,BAL,2016-10-09,2016,5,Out,ankle,,
Bashaud Breeland,WAS,PHI,2016-10-16,2016,6,Questionable,ankle,,
Bashaud Breeland,WAS,CIN,2016-10-30,2016,8,Questionable,ankle,,
Bashaud Breeland,WAS,ARI,2016-12-04,2016,13,Questionable,ankle,,
Bashaud Breeland,WAS,PHI,2017-10-23,2017,7,Questionable,Knee,,
Bashaud Breeland,WAS,DAL,2017-10-29,2017,8,Questionable,Knee,,
Bashaud Breeland,WAS,SEA,2017-11-05,2017,9,Questionable,Knee,,
Bashaud Breeland,GNB,DET,2018-10-07,2018,5,Questionable,Hamstring,,
Bashaud Breeland,GNB,SFO,2018-10-15,2018,6,Questionable,Hamstring,,
Bashaud Breeland,GNB,SEA,2018-11-15,2018,11,Questionable,Groin,,
Bashaud Breeland,GNB,MIN,2018-11-25,2018,12,Questionable,Groin,,
Bashaud Breeland,GNB,ARI,2018-12-02,2018,13,Questionable,Groin,,
Bashaud Breeland,GNB,ATL,2018-12-09,2018,14,Questionable,Groin,,
Bashaud Breeland,GNB,CHI,2018-12-16,2018,15,Questionable,Groin,,
Bashaud Breeland,KAN,DEN,2019-10-17,2019,7,Questionable,Not Injury Related,,
