Player,Team,Opp,Date,Season,Week,Status,Injury,Specific_Inj,Side
Beau Allen,PHI,CAR,2017-10-12,2017,6,Questionable,Foot,,
Beau Allen,PHI,CHI,2017-11-26,2017,12,Questionable,Knee,,
Beau Allen,TAM,PIT,2018-09-24,2018,3,Out,Foot,,
Beau Allen,TAM,CHI,2018-09-30,2018,4,Out,Foot,,
Beau Allen,TAM,ATL,2018-10-14,2018,6,Questionable,Foot,,
Beau Allen,TAM,BAL,2018-12-16,2018,15,Questionable,Wrist,,
Beau Allen,TAM,DET,2019-12-15,2019,15,Out,Ankle,,
Beau Allen,TAM,HOU,2019-12-21,2019,16,Out,Ankle,,
Beau Allen,TAM,ATL,2019-12-29,2019,17,Out,Ankle,,
Beau Allen,NWE,MIA,2020-09-13,2020,1,Injured Reserve,,,
Beau Allen,NWE,SEA,2020-09-20,2020,2,Injured Reserve,,,
Beau Allen,NWE,LVR,2020-09-27,2020,3,Injured Reserve,,,
Beau Allen,NWE,KAN,2020-10-05,2020,4,Injured Reserve,,,
Beau Allen,NWE,DEN,2020-10-18,2020,6,Injured Reserve,,,
Beau Allen,NWE,SFO,2020-10-25,2020,7,Injured Reserve,,,
Beau Allen,NWE,BUF,2020-11-01,2020,8,Injured Reserve,,,
Beau Allen,NWE,NYJ,2020-11-09,2020,9,Injured Reserve,,,
Beau Allen,NWE,BAL,2020-11-15,2020,10,Injured Reserve,,,
Beau Allen,NWE,HOU,2020-11-22,2020,11,Injured Reserve,,,
Beau Allen,NWE,ARI,2020-11-29,2020,12,Injured Reserve,,,
Beau Allen,NWE,LAC,2020-12-06,2020,13,Injured Reserve,,,
Beau Allen,NWE,LAR,2020-12-10,2020,14,Injured Reserve,,,
Beau Allen,NWE,MIA,2020-12-20,2020,15,Injured Reserve,,,
Beau Allen,NWE,BUF,2020-12-28,2020,16,Injured Reserve,,,
Beau Allen,NWE,NYJ,2021-01-03,2020,17,Injured Reserve,,,
