Player,Team,Opp,Date,Season,Week,Status,Injury,Specific_Inj,Side
Ben Gedeon,MIN,GNB,2018-11-25,2018,12,Out,Concussion,,
Ben Gedeon,MIN,GNB,2019-09-15,2019,2,Questionable,Groin,,
Ben Gedeon,MIN,OAK,2019-09-22,2019,3,Questionable,Groin,,
Ben Gedeon,MIN,PHI,2019-10-13,2019,6,Out,Concussion,,
Ben Gedeon,MIN,DET,2019-10-20,2019,7,Out,Concussion,,
Ben Gedeon,MIN,SEA,2019-12-02,2019,13,Out,Concussion,,
Ben Gedeon,MIN,DET,2019-12-08,2019,14,Injured Reserve,,,
Ben Gedeon,MIN,LAC,2019-12-15,2019,15,Injured Reserve,,,
Ben Gedeon,MIN,GNB,2019-12-23,2019,16,Injured Reserve,,,
Ben Gedeon,MIN,CHI,2019-12-29,2019,17,Injured Reserve,,,
Ben Gedeon,MIN,GNB,2020-09-13,2020,1,Physically Unable to Perform,,,
Ben Gedeon,MIN,IND,2020-09-20,2020,2,Physically Unable to Perform,,,
Ben Gedeon,MIN,TEN,2020-09-27,2020,3,Physically Unable to Perform,,,
Ben Gedeon,MIN,HOU,2020-10-04,2020,4,Physically Unable to Perform,,,
Ben Gedeon,MIN,SEA,2020-10-11,2020,5,Physically Unable to Perform,,,
Ben Gedeon,MIN,ATL,2020-10-18,2020,6,Physically Unable to Perform,,,
Ben Gedeon,MIN,GNB,2020-11-01,2020,8,Physically Unable to Perform,,,
Ben Gedeon,MIN,DET,2020-11-08,2020,9,Physically Unable to Perform,,,
Ben Gedeon,MIN,CHI,2020-11-16,2020,10,Physically Unable to Perform,,,
