Player,Team,Opp,Date,Season,Week,Status,Injury,Specific_Inj,Side
Bennett Okotcha,TEN,MIN,2016-09-11,2016,1,Injured Reserve,Shoulder,,
Bennett Okotcha,TEN,DET,2016-09-18,2016,2,Injured Reserve,Shoulder,,
Bennett Okotcha,TEN,OAK,2016-09-25,2016,3,Injured Reserve,Shoulder,,
Bennett Okotcha,TEN,HOU,2016-10-02,2016,4,Injured Reserve,Shoulder,,
Bennett Okotcha,TEN,MIA,2016-10-09,2016,5,Injured Reserve,Shoulder,,
Bennett Okotcha,TEN,CLE,2016-10-16,2016,6,Injured Reserve,Shoulder,,
Bennett Okotcha,TEN,IND,2016-10-23,2016,7,Injured Reserve,Shoulder,,
Bennett Okotcha,TEN,JAX,2016-10-27,2016,8,Injured Reserve,Shoulder,,
Bennett Okotcha,TEN,SDG,2016-11-06,2016,9,Injured Reserve,Shoulder,,
Bennett Okotcha,TEN,GNB,2016-11-13,2016,10,Injured Reserve,Shoulder,,
Bennett Okotcha,TEN,IND,2016-11-20,2016,11,Injured Reserve,Shoulder,,
Bennett Okotcha,TEN,CHI,2016-11-27,2016,12,Injured Reserve,Shoulder,,
Bennett Okotcha,TEN,DEN,2016-12-11,2016,14,Injured Reserve,Shoulder,,
Bennett Okotcha,TEN,KAN,2016-12-18,2016,15,Injured Reserve,Shoulder,,
Bennett Okotcha,TEN,JAX,2016-12-24,2016,16,Injured Reserve,Shoulder,,
Bennett Okotcha,TEN,HOU,2017-01-01,2016,17,Injured Reserve,Shoulder,,
