Player,Team,Opp,Date,Season,Week,Status,Injury,Specific_Inj,Side
Bennie Fowler,DEN,CAR,2016-09-08,2016,1,Out,elbow,,
Bennie Fowler,DEN,IND,2016-09-18,2016,2,Out,elbow,,
Bennie Fowler,DEN,CIN,2016-09-25,2016,3,Questionable,elbow,,
Bennie Fowler,DEN,JAX,2016-12-04,2016,13,Out,knee,,
Bennie Fowler,DEN,TEN,2016-12-11,2016,14,Questionable,knee,,
Bennie Fowler,DEN,BUF,2017-09-24,2017,3,Questionable,Concussion,,
Bennie Fowler,NYG,TAM,2019-09-22,2019,3,Questionable,Hamstring,,
Bennie Fowler,NOR,CAR,2020-10-25,2020,7,Injured Reserve,,,
Bennie Fowler,NOR,CHI,2020-11-01,2020,8,Injured Reserve,,,
Bennie Fowler,NOR,TAM,2020-11-08,2020,9,Injured Reserve,,,
Bennie Fowler,NOR,SFO,2020-11-15,2020,10,Injured Reserve,,,
Bennie Fowler,NOR,ATL,2020-11-22,2020,11,Injured Reserve,,,
Bennie Fowler,NOR,DEN,2020-11-29,2020,12,Injured Reserve,,,
Bennie Fowler,NOR,ATL,2020-12-06,2020,13,Injured Reserve,,,
Bennie Fowler,NOR,PHI,2020-12-13,2020,14,Injured Reserve,,,
Bennie Fowler,NOR,KAN,2020-12-20,2020,15,Injured Reserve,,,
Bennie Fowler,NOR,MIN,2020-12-25,2020,16,Injured Reserve,,,
Bennie Fowler,NOR,CAR,2021-01-03,2020,17,Injured Reserve,,,
