Player,Team,Opp,Date,Season,Week,Status,Injury,Specific_Inj,Side
Bilal Nichols,CHI,BUF,2018-11-04,2018,9,Questionable,Knee,,
Bilal Nichols,CHI,DET,2018-11-11,2018,10,Questionable,Knee,,
Bilal Nichols,CHI,MIN,2018-11-18,2018,11,Questionable,Knee,,
Bilal Nichols,CHI,NYG,2018-12-02,2018,13,Questionable,Knee,,
Bilal Nichols,CHI,LAR,2018-12-09,2018,14,Questionable,Knee,,
Bilal Nichols,CHI,GNB,2018-12-16,2018,15,Questionable,Knee,,
Bilal Nichols,CHI,SFO,2018-12-23,2018,16,Questionable,Knee,,
Bilal Nichols,CHI,MIN,2018-12-30,2018,17,Questionable,Knee,,
Bilal Nichols,CHI,GNB,2019-09-05,2019,1,Questionable,Knee,,
Bilal Nichols,CHI,DEN,2019-09-15,2019,2,Questionable,Knee,,
Bilal Nichols,CHI,WAS,2019-09-23,2019,3,Out,Hand,,
Bilal Nichols,CHI,MIN,2019-09-29,2019,4,Out,Hand,,
Bilal Nichols,CHI,OAK,2019-10-06,2019,5,Out,Hand,,
Bilal Nichols,CHI,NOR,2019-10-20,2019,7,Questionable,Hand,,
Bilal Nichols,CHI,LAC,2019-10-27,2019,8,Questionable,Knee,,
Bilal Nichols,CHI,JAX,2020-12-27,2020,16,Questionable,Knee,,
