Player,Team,Opp,Date,Season,Week,Status,Injury,Specific_Inj,Side
Brandin Bryant,NYJ,BUF,2017-09-10,2017,1,Injured Reserve,Undisclosed,,
Brandin Bryant,NYJ,OAK,2017-09-17,2017,2,Injured Reserve,Undisclosed,,
Brandin Bryant,NYJ,MIA,2017-09-24,2017,3,Injured Reserve,Undisclosed,,
Brandin Bryant,NYJ,JAX,2017-10-01,2017,4,Injured Reserve,Undisclosed,,
Brandin Bryant,NYJ,CLE,2017-10-08,2017,5,Injured Reserve,Undisclosed,,
Brandin Bryant,NYJ,NWE,2017-10-15,2017,6,Injured Reserve,Undisclosed,,
Brandin Bryant,NYJ,MIA,2017-10-22,2017,7,Injured Reserve,Undisclosed,,
Brandin Bryant,NYJ,ATL,2017-10-29,2017,8,Injured Reserve,Undisclosed,,
Brandin Bryant,NYJ,BUF,2017-11-02,2017,9,Injured Reserve,Undisclosed,,
Brandin Bryant,NYJ,TAM,2017-11-12,2017,10,Injured Reserve,Undisclosed,,
Brandin Bryant,NYJ,CAR,2017-11-26,2017,12,Injured Reserve,Undisclosed,,
Brandin Bryant,NYJ,KAN,2017-12-03,2017,13,Injured Reserve,Undisclosed,,
Brandin Bryant,NYJ,DEN,2017-12-10,2017,14,Injured Reserve,Undisclosed,,
Brandin Bryant,NYJ,NOR,2017-12-17,2017,15,Injured Reserve,Undisclosed,,
Brandin Bryant,NYJ,LAC,2017-12-24,2017,16,Injured Reserve,Undisclosed,,
Brandin Bryant,NYJ,NWE,2017-12-31,2017,17,Injured Reserve,Undisclosed,,
