Player,Team,Opp,Date,Season,Week,Status,Injury,Specific_Inj,Side
Brandon Bell,CIN,IND,2018-09-09,2018,1,Injured Reserve,Undisclosed,,
Brandon Bell,CIN,BAL,2018-09-13,2018,2,Injured Reserve,Undisclosed,,
Brandon Bell,CIN,CAR,2018-09-23,2018,3,Injured Reserve,Undisclosed,,
Brandon Bell,CIN,ATL,2018-09-30,2018,4,Injured Reserve,Undisclosed,,
Brandon Bell,CIN,MIA,2018-10-07,2018,5,Injured Reserve,Undisclosed,,
Brandon Bell,CIN,PIT,2018-10-14,2018,6,Injured Reserve,Undisclosed,,
Brandon Bell,CIN,KAN,2018-10-21,2018,7,Injured Reserve,Undisclosed,,
Brandon Bell,CIN,TAM,2018-10-28,2018,8,Injured Reserve,Undisclosed,,
Brandon Bell,CIN,NOR,2018-11-11,2018,10,Injured Reserve,Undisclosed,,
Brandon Bell,CIN,DEN,2018-12-02,2018,13,Injured Reserve,Undisclosed,,
