Player,Team,Opp,Date,Season,Week,Status,Injury,Specific_Inj,Side
Brandon Williams,ARI,SEA,2016-12-24,2016,16,Questionable,back,,
Brandon Williams,BAL,CIN,2016-11-27,2016,12,Questionable,"back, hand",,
Brandon Williams,BAL,JAX,2017-09-24,2017,3,Out,Foot,,
Brandon Williams,BAL,PIT,2017-10-01,2017,4,Out,Foot,,
Brandon Williams,BAL,OAK,2017-10-08,2017,5,Out,Foot,,
Brandon Williams,BAL,CHI,2017-10-15,2017,6,Doubtful,Foot,,
Brandon Williams,BAL,MIN,2017-10-22,2017,7,Questionable,Foot,,
Brandon Williams,BAL,CIN,2017-12-31,2017,17,Questionable,Back,,
Brandon Williams,IND,CLE,2017-09-24,2017,3,Questionable,Calf,,
Brandon Williams,IND,BAL,2017-12-23,2017,16,Out,Concussion,,
Brandon Williams,IND,HOU,2017-12-31,2017,17,Injured Reserve,Concussion,,
Brandon Williams,ARI,DET,2019-09-08,2019,1,Injured Reserve,,,
Brandon Williams,ARI,BAL,2019-09-15,2019,2,Injured Reserve,,,
Brandon Williams,ARI,CAR,2019-09-22,2019,3,Injured Reserve,,,
Brandon Williams,ARI,SEA,2019-09-29,2019,4,Injured Reserve,,,
Brandon Williams,ARI,CIN,2019-10-06,2019,5,Injured Reserve,,,
Brandon Williams,ARI,ATL,2019-10-13,2019,6,Injured Reserve,,,
Brandon Williams,ARI,NYG,2019-10-20,2019,7,Injured Reserve,,,
Brandon Williams,ARI,NOR,2019-10-27,2019,8,Injured Reserve,,,
Brandon Williams,ARI,SFO,2019-10-31,2019,9,Injured Reserve,,,
Brandon Williams,ARI,TAM,2019-11-10,2019,10,Injured Reserve,,,
Brandon Williams,ARI,SFO,2019-11-17,2019,11,Injured Reserve,,,
Brandon Williams,ARI,LAR,2019-12-01,2019,13,Injured Reserve,,,
Brandon Williams,ARI,PIT,2019-12-08,2019,14,Injured Reserve,,,
Brandon Williams,ARI,CLE,2019-12-15,2019,15,Injured Reserve,,,
Brandon Williams,ARI,SEA,2019-12-22,2019,16,Injured Reserve,,,
Brandon Williams,ARI,LAR,2019-12-29,2019,17,Injured Reserve,,,
Brandon Williams,BAL,PIT,2019-10-06,2019,5,Questionable,Knee,,
Brandon Williams,BAL,PHI,2020-10-18,2020,6,C19,,,
Brandon Williams,BAL,PIT,2020-11-01,2020,8,C19,,,
Brandon Williams,BAL,TEN,2020-11-22,2020,11,Doubtful,Ankle,,
Brandon Williams,BAL,PIT,2020-12-02,2020,12,C19,,,
Brandon Williams,BAL,DAL,2020-12-08,2020,13,Questionable,Ankle,,
Brandon Williams,NYG,SFO,2020-09-27,2020,3,Questionable,Groin,,
Brandon Williams,NYG,LAR,2020-10-04,2020,4,Injured Reserve,,,
Brandon Williams,NYG,DAL,2020-10-11,2020,5,Injured Reserve,,,
Brandon Williams,NYG,WAS,2020-10-18,2020,6,Injured Reserve,,,
Brandon Williams,NYG,PHI,2020-10-22,2020,7,Injured Reserve,,,
Brandon Williams,NYG,TAM,2020-11-02,2020,8,Injured Reserve,,,
Brandon Williams,NYG,WAS,2020-11-08,2020,9,Injured Reserve,,,
Brandon Williams,NYG,CIN,2020-11-29,2020,12,Questionable,Ankle,,
