Player,Team,Opp,Date,Season,Week,Status,Injury,Specific_Inj,Side
Brent Qvale,NYJ,BAL,2016-10-23,2016,7,Out,neck,,
Brent Qvale,NYJ,CLE,2016-10-30,2016,8,Doubtful,neck,,
Brent Qvale,NYJ,MIA,2016-11-06,2016,9,Doubtful,neck,,
Brent Qvale,NYJ,MIA,2016-12-17,2016,15,Doubtful,hamstring,,
Brent Qvale,NYJ,BUF,2019-09-08,2019,1,Injured Reserve,,,
Brent Qvale,NYJ,CLE,2019-09-16,2019,2,Injured Reserve,,,
Brent Qvale,NYJ,NWE,2019-09-22,2019,3,Injured Reserve,,,
Brent Qvale,NYJ,PHI,2019-10-06,2019,5,Injured Reserve,,,
Brent Qvale,NYJ,DAL,2019-10-13,2019,6,Injured Reserve,,,
Brent Qvale,NYJ,NWE,2019-10-21,2019,7,Injured Reserve,,,
Brent Qvale,NYJ,JAX,2019-10-27,2019,8,Injured Reserve,,,
Brent Qvale,NYJ,MIA,2019-11-03,2019,9,Injured Reserve,,,
Brent Qvale,NYJ,NYG,2019-11-10,2019,10,Injured Reserve,,,
Brent Qvale,NYJ,WAS,2019-11-17,2019,11,Injured Reserve,,,
Brent Qvale,NYJ,OAK,2019-11-24,2019,12,Injured Reserve,,,
Brent Qvale,NYJ,CIN,2019-12-01,2019,13,Injured Reserve,,,
Brent Qvale,NYJ,MIA,2019-12-08,2019,14,Injured Reserve,,,
Brent Qvale,NYJ,BAL,2019-12-12,2019,15,Injured Reserve,,,
Brent Qvale,HOU,TEN,2021-01-03,2020,17,Out,Concussion,,
