Player,Team,Opp,Date,Season,Week,Status,Injury,Specific_Inj,Side
Brian Poole,NYJ,NWE,2019-09-22,2019,3,Questionable,Groin,,
Brian Poole,NYJ,MIA,2019-12-08,2019,14,Out,Concussion,,
Brian Poole,NYJ,BAL,2019-12-12,2019,15,Out,Concussion,,
Brian Poole,NYJ,PIT,2019-12-22,2019,16,Questionable,Concussion,,
Brian Poole,NYJ,BUF,2019-12-29,2019,17,Questionable,Ankle,,
Brian Poole,NYJ,LAC,2020-11-22,2020,11,Injured Reserve,,,
Brian Poole,NYJ,MIA,2020-11-29,2020,12,Injured Reserve,,,
Brian Poole,NYJ,LVR,2020-12-06,2020,13,Injured Reserve,,,
Brian Poole,NYJ,SEA,2020-12-13,2020,14,Injured Reserve,,,
Brian Poole,NYJ,LAR,2020-12-20,2020,15,Injured Reserve,,,
Brian Poole,NYJ,CLE,2020-12-27,2020,16,Injured Reserve,,,
Brian Poole,NYJ,NWE,2021-01-03,2020,17,Injured Reserve,,,
