Player,Team,Opp,Date,Season,Week,Status,Injury,Specific_Inj,Side
Bryson Keeton,NYJ,BUF,2017-09-10,2017,1,Injured Reserve,Knee,,
Bryson Keeton,NYJ,OAK,2017-09-17,2017,2,Injured Reserve,Knee,,
Bryson Keeton,NYJ,MIA,2017-09-24,2017,3,Injured Reserve,Knee,,
Bryson Keeton,NYJ,JAX,2017-10-01,2017,4,Injured Reserve,Knee,,
Bryson Keeton,NYJ,CLE,2017-10-08,2017,5,Injured Reserve,Knee,,
Bryson Keeton,NYJ,NWE,2017-10-15,2017,6,Injured Reserve,Knee,,
Bryson Keeton,NYJ,MIA,2017-10-22,2017,7,Injured Reserve,Knee,,
Bryson Keeton,NYJ,ATL,2017-10-29,2017,8,Injured Reserve,Knee,,
Bryson Keeton,NYJ,BUF,2017-11-02,2017,9,Injured Reserve,Knee,,
Bryson Keeton,NYJ,TAM,2017-11-12,2017,10,Injured Reserve,Knee,,
Bryson Keeton,NYJ,CAR,2017-11-26,2017,12,Injured Reserve,Knee,,
Bryson Keeton,NYJ,KAN,2017-12-03,2017,13,Injured Reserve,Knee,,
Bryson Keeton,NYJ,DEN,2017-12-10,2017,14,Injured Reserve,Knee,,
Bryson Keeton,NYJ,NOR,2017-12-17,2017,15,Injured Reserve,Knee,,
Bryson Keeton,NYJ,LAC,2017-12-24,2017,16,Injured Reserve,Knee,,
Bryson Keeton,NYJ,NWE,2017-12-31,2017,17,Injured Reserve,Knee,,
