Player,Team,Opp,Date,Season,Week,Status,Injury,Specific_Inj,Side
Caleb Brantley,WAS,PHI,2019-09-08,2019,1,Questionable,Foot,,
Caleb Brantley,WAS,DAL,2019-09-15,2019,2,Injured Reserve,,,
Caleb Brantley,WAS,CHI,2019-09-23,2019,3,Injured Reserve,,,
Caleb Brantley,WAS,NYG,2019-09-29,2019,4,Injured Reserve,,,
Caleb Brantley,WAS,NWE,2019-10-06,2019,5,Injured Reserve,,,
Caleb Brantley,WAS,MIA,2019-10-13,2019,6,Injured Reserve,,,
Caleb Brantley,WAS,SFO,2019-10-20,2019,7,Injured Reserve,,,
Caleb Brantley,WAS,MIN,2019-10-24,2019,8,Injured Reserve,,,
Caleb Brantley,WAS,BUF,2019-11-03,2019,9,Injured Reserve,,,
Caleb Brantley,WAS,NYJ,2019-11-17,2019,11,Injured Reserve,,,
Caleb Brantley,WAS,DET,2019-11-24,2019,12,Injured Reserve,,,
Caleb Brantley,WAS,CAR,2019-12-01,2019,13,Injured Reserve,,,
Caleb Brantley,WAS,GNB,2019-12-08,2019,14,Injured Reserve,,,
Caleb Brantley,WAS,PHI,2019-12-15,2019,15,Injured Reserve,,,
Caleb Brantley,WAS,NYG,2019-12-22,2019,16,Injured Reserve,,,
Caleb Brantley,WAS,DAL,2019-12-29,2019,17,Injured Reserve,,,
Caleb Brantley,WAS,PHI,2020-09-13,2020,1,Injured Reserve,,,
Caleb Brantley,WAS,DET,2020-11-15,2020,10,Injured Reserve,,,
