Player,Team,Opp,Date,Season,Week,Status,Injury,Specific_Inj,Side
Caleb Sturgis,PHI,KAN,2017-09-17,2017,2,Injured Reserve,Quadricep,,
Caleb Sturgis,PHI,NYG,2017-09-24,2017,3,Injured Reserve,Quadricep,,
Caleb Sturgis,PHI,LAC,2017-10-01,2017,4,Injured Reserve,Quadricep,,
Caleb Sturgis,PHI,ARI,2017-10-08,2017,5,Injured Reserve,Quadricep,,
Caleb Sturgis,PHI,CAR,2017-10-12,2017,6,Injured Reserve,Quadricep,,
Caleb Sturgis,PHI,WAS,2017-10-23,2017,7,Injured Reserve,Quadricep,,
Caleb Sturgis,PHI,SFO,2017-10-29,2017,8,Injured Reserve,Quadricep,,
Caleb Sturgis,PHI,DEN,2017-11-05,2017,9,Injured Reserve,Quadricep,,
Caleb Sturgis,PHI,DAL,2017-11-19,2017,11,Injured Reserve,Quadricep,,
Caleb Sturgis,PHI,CHI,2017-11-26,2017,12,Injured Reserve,Quadricep,,
Caleb Sturgis,PHI,SEA,2017-12-03,2017,13,Injured Reserve,Quadricep,,
Caleb Sturgis,PHI,LAR,2017-12-10,2017,14,Injured Reserve,Quadricep,,
Caleb Sturgis,PHI,NYG,2017-12-17,2017,15,Injured Reserve,Quadricep,,
Caleb Sturgis,PHI,OAK,2017-12-25,2017,16,Injured Reserve,Quadricep,,
Caleb Sturgis,PHI,DAL,2017-12-31,2017,17,Injured Reserve,Quadricep,,
Caleb Sturgis,LAC,CLE,2018-10-14,2018,6,Questionable,Quadricep,,
Caleb Sturgis,LAC,TEN,2018-10-21,2018,7,Questionable,Quadricep,,
