Player,Team,Opp,Date,Season,Week,Status,Injury,Specific_Inj,Side
Calvin Pryor,NYJ,IND,2016-12-05,2016,13,Out,concussion,,
Calvin Pryor,JAX,TEN,2017-09-17,2017,2,Injured Reserve,Ankle,,
Calvin Pryor,JAX,BAL,2017-09-24,2017,3,Injured Reserve,Ankle,,
Calvin Pryor,JAX,NYJ,2017-10-01,2017,4,Injured Reserve,Ankle,,
Calvin Pryor,JAX,PIT,2017-10-08,2017,5,Injured Reserve,Ankle,,
Calvin Pryor,JAX,LAR,2017-10-15,2017,6,Injured Reserve,Ankle,,
Calvin Pryor,JAX,IND,2017-10-22,2017,7,Injured Reserve,Ankle,,
Calvin Pryor,JAX,CIN,2017-11-05,2017,9,Injured Reserve,Ankle,,
Calvin Pryor,JAX,LAC,2017-11-12,2017,10,Injured Reserve,Ankle,,
Calvin Pryor,JAX,IND,2017-12-03,2017,13,Injured Reserve,Ankle,,
Calvin Pryor,JAX,SEA,2017-12-10,2017,14,Injured Reserve,Ankle,,
Calvin Pryor,JAX,HOU,2017-12-17,2017,15,Injured Reserve,Ankle,,
Calvin Pryor,JAX,SFO,2017-12-24,2017,16,Injured Reserve,Ankle,,
Calvin Pryor,JAX,TEN,2017-12-31,2017,17,Injured Reserve,Ankle,,
