Player,Team,Opp,Date,Season,Week,Status,Injury,Specific_Inj,Side
Cam Newton,CAR,ATL,2016-10-02,2016,4,day-to-day,concussion,,
Cam Newton,CAR,TAM,2016-10-10,2016,5,Out,concussion,,
Cam Newton,CAR,NOR,2016-10-16,2016,6,Questionable,concussion,,
Cam Newton,CAR,ARI,2016-10-30,2016,8,day-to-day,concussion,,
Cam Newton,CAR,LAR,2016-11-06,2016,9,day-to-day,concussion,,
Cam Newton,CAR,KAN,2016-11-13,2016,10,day-to-day,concussion,,
Cam Newton,CAR,NOR,2016-11-17,2016,11,day-to-day,concussion,,
Cam Newton,CAR,OAK,2016-11-27,2016,12,day-to-day,concussion,,
Cam Newton,CAR,SEA,2016-12-04,2016,13,day-to-day,concussion,,
Cam Newton,CAR,SDG,2016-12-11,2016,14,day-to-day,concussion,,
Cam Newton,CAR,WAS,2016-12-19,2016,15,Questionable, shoulder,,
Cam Newton,CAR,ATL,2016-12-24,2016,16,day-to-day,concussion,,
Cam Newton,CAR,TAM,2017-01-01,2016,17,Questionable, shoulder,,
Cam Newton,CAR,SFO,2017-09-10,2017,1,Questionable,Shoulder,,
Cam Newton,CAR,NOR,2017-09-24,2017,3,Questionable,Shoulder,,
Cam Newton,CAR,ATL,2018-12-23,2018,16,Out,Shoulder,,
Cam Newton,CAR,NOR,2018-12-30,2018,17,Out,Shoulder,,
Cam Newton,CAR,ARI,2019-09-22,2019,3,Out,Foot,,
Cam Newton,CAR,HOU,2019-09-29,2019,4,Out,Foot,,
Cam Newton,CAR,JAX,2019-10-06,2019,5,Out,Foot,,
Cam Newton,CAR,TAM,2019-10-13,2019,6,Out,Foot,,
Cam Newton,CAR,SFO,2019-10-27,2019,8,Out,Foot,,
Cam Newton,CAR,TEN,2019-11-03,2019,9,Out,Foot,,
Cam Newton,CAR,GNB,2019-11-10,2019,10,Injured Reserve,,,
Cam Newton,CAR,ATL,2019-11-17,2019,11,Injured Reserve,,,
Cam Newton,CAR,NOR,2019-11-24,2019,12,Injured Reserve,,,
Cam Newton,CAR,WAS,2019-12-01,2019,13,Injured Reserve,,,
Cam Newton,CAR,ATL,2019-12-08,2019,14,Injured Reserve,,,
Cam Newton,CAR,SEA,2019-12-15,2019,15,Injured Reserve,,,
Cam Newton,CAR,IND,2019-12-22,2019,16,Injured Reserve,,,
Cam Newton,CAR,NOR,2019-12-29,2019,17,Injured Reserve,,,
Cam Newton,NWE,LAC,2020-12-06,2020,13,Questionable,Abdomen,,
Cam Newton,NWE,LAR,2020-12-10,2020,14,Questionable,Abdomen,,
