Player,Team,Opp,Date,Season,Week,Status,Injury,Specific_Inj,Side
Chris Conley,KAN,PIT,2017-10-15,2017,6,Out,Achilles,,
Chris Conley,KAN,OAK,2017-10-19,2017,7,Injured Reserve,Achilles,,
Chris Conley,KAN,DEN,2017-10-30,2017,8,Injured Reserve,Achilles,,
Chris Conley,KAN,DAL,2017-11-05,2017,9,Injured Reserve,Achilles,,
Chris Conley,KAN,NYG,2017-11-19,2017,11,Injured Reserve,Achilles,,
Chris Conley,KAN,BUF,2017-11-26,2017,12,Injured Reserve,Achilles,,
Chris Conley,KAN,NYJ,2017-12-03,2017,13,Injured Reserve,Achilles,,
Chris Conley,KAN,OAK,2017-12-10,2017,14,Injured Reserve,Achilles,,
Chris Conley,KAN,LAC,2017-12-16,2017,15,Injured Reserve,Achilles,,
Chris Conley,KAN,MIA,2017-12-24,2017,16,Injured Reserve,Achilles,,
Chris Conley,KAN,DEN,2017-12-31,2017,17,Injured Reserve,Achilles,,
Chris Conley,JAX,CLE,2020-11-29,2020,12,Out,Hip,,
Chris Conley,JAX,MIN,2020-12-06,2020,13,Questionable,Hip,,
