Player,Team,Opp,Date,Season,Week,Status,Injury,Specific_Inj,Side
Chris Harris,DEN,SFO,2018-12-09,2018,14,Injured Reserve,Shin,,
Chris Harris,DEN,CLE,2018-12-15,2018,15,Injured Reserve,Shin,,
Chris Harris,DEN,OAK,2018-12-24,2018,16,Injured Reserve,Shin,,
Chris Harris,DEN,LAC,2018-12-30,2018,17,Injured Reserve,Shin,,
Chris Harris,LAC,TAM,2020-10-04,2020,4,Injured Reserve,,,
Chris Harris,LAC,NOR,2020-10-12,2020,5,Injured Reserve,,,
Chris Harris,LAC,JAX,2020-10-25,2020,7,Injured Reserve,,,
Chris Harris,LAC,DEN,2020-11-01,2020,8,Injured Reserve,,,
Chris Harris,LAC,LVR,2020-11-08,2020,9,Injured Reserve,,,
Chris Harris,LAC,MIA,2020-11-15,2020,10,Injured Reserve,,,
Chris Harris,LAC,NYJ,2020-11-22,2020,11,Injured Reserve,,,
Chris Harris,LAC,BUF,2020-11-29,2020,12,Injured Reserve,,,
