Player,Team,Opp,Date,Season,Week,Status,Injury,Specific_Inj,Side
Chris Ivory,JAX,GNB,2016-09-11,2016,1,Questionable,calf,,
Chris Ivory,JAX,SDG,2016-09-18,2016,2,Out,general medical issue,,
Chris Ivory,JAX,BAL,2016-09-25,2016,3,Questionable,general medical issue,,
Chris Ivory,JAX,DEN,2016-12-04,2016,13,Out,hamstring,,
Chris Ivory,JAX,MIN,2016-12-11,2016,14,Questionable,hamstring,,
Chris Ivory,JAX,IND,2017-01-01,2016,17,Questionable,hamstring,,
Chris Ivory,BUF,NYJ,2018-11-11,2018,10,Questionable,Shoulder,,
Chris Ivory,BUF,DET,2018-12-16,2018,15,Questionable,Shoulder,,
Chris Ivory,BUF,NWE,2018-12-23,2018,16,Questionable,Shoulder,,
Chris Ivory,BUF,MIA,2018-12-30,2018,17,Questionable,Shoulder,,
