Player,Team,Opp,Date,Season,Week,Status,Injury,Specific_Inj,Side
Christian Campbell,ARI,WAS,2018-09-09,2018,1,Injured Reserve,Ankle,,
Christian Campbell,ARI,LAR,2018-09-16,2018,2,Injured Reserve,Ankle,,
Christian Campbell,ARI,CHI,2018-09-23,2018,3,Injured Reserve,Ankle,,
Christian Campbell,ARI,SEA,2018-09-30,2018,4,Injured Reserve,Ankle,,
Christian Campbell,ARI,SFO,2018-10-07,2018,5,Injured Reserve,Ankle,,
Christian Campbell,ARI,MIN,2018-10-14,2018,6,Injured Reserve,Ankle,,
Christian Campbell,ARI,DEN,2018-10-18,2018,7,Injured Reserve,Ankle,,
Christian Campbell,ARI,SFO,2018-10-28,2018,8,Injured Reserve,Ankle,,
Christian Campbell,ARI,KAN,2018-11-11,2018,10,Injured Reserve,Ankle,,
Christian Campbell,ARI,OAK,2018-11-18,2018,11,Injured Reserve,Ankle,,
Christian Campbell,ARI,LAC,2018-11-25,2018,12,Injured Reserve,Ankle,,
Christian Campbell,ARI,GNB,2018-12-02,2018,13,Injured Reserve,Ankle,,
Christian Campbell,ARI,DET,2018-12-09,2018,14,Injured Reserve,Ankle,,
Christian Campbell,ARI,ATL,2018-12-16,2018,15,Injured Reserve,Ankle,,
Christian Campbell,ARI,LAR,2018-12-23,2018,16,Injured Reserve,Ankle,,
Christian Campbell,ARI,SEA,2018-12-30,2018,17,Injured Reserve,Ankle,,
