Player,Team,Opp,Date,Season,Week,Status,Injury,Specific_Inj,Side
Clayton Geathers,IND,DET,2016-09-11,2016,1,Out,foot,,
Clayton Geathers,IND,DEN,2016-09-18,2016,2,Questionable,foot,,
Clayton Geathers,IND,SDG,2016-09-25,2016,3,Questionable,foot,,
Clayton Geathers,IND,PIT,2016-11-24,2016,12,Injured Reserve,Concussion,,
Clayton Geathers,IND,NYJ,2016-12-05,2016,13,Injured Reserve,Concussion,,
Clayton Geathers,IND,HOU,2016-12-11,2016,14,Injured Reserve,Concussion,,
Clayton Geathers,IND,MIN,2016-12-18,2016,15,Injured Reserve,Concussion,,
Clayton Geathers,IND,OAK,2016-12-24,2016,16,Injured Reserve,Concussion,,
Clayton Geathers,IND,JAX,2017-01-01,2016,17,Injured Reserve,Concussion,,
Clayton Geathers,IND,LAR,2017-09-10,2017,1,Injured Reserve,Neck,,
Clayton Geathers,IND,ARI,2017-09-17,2017,2,Injured Reserve,Neck,,
Clayton Geathers,IND,CLE,2017-09-24,2017,3,Injured Reserve,Neck,,
Clayton Geathers,IND,SEA,2017-10-01,2017,4,Injured Reserve,Neck,,
Clayton Geathers,IND,SFO,2017-10-08,2017,5,Injured Reserve,Neck,,
Clayton Geathers,IND,TEN,2017-10-16,2017,6,Injured Reserve,Neck,,
Clayton Geathers,IND,JAX,2017-10-22,2017,7,Injured Reserve,Neck,,
Clayton Geathers,IND,CIN,2017-10-29,2017,8,Injured Reserve,Neck,,
Clayton Geathers,IND,HOU,2017-11-05,2017,9,Injured Reserve,Neck,,
Clayton Geathers,IND,PIT,2017-11-12,2017,10,Injured Reserve,Neck,,
Clayton Geathers,IND,BAL,2017-12-23,2017,16,Injured Reserve,Neck,,
Clayton Geathers,IND,WAS,2018-09-16,2018,2,Questionable,Knee,,
Clayton Geathers,IND,PHI,2018-09-23,2018,3,Questionable,Knee,,
Clayton Geathers,IND,HOU,2018-09-30,2018,4,Questionable,Knee,,
Clayton Geathers,IND,NWE,2018-10-04,2018,5,Questionable,Knee,,
Clayton Geathers,IND,NYJ,2018-10-14,2018,6,Out,Concussion,,
Clayton Geathers,IND,BUF,2018-10-21,2018,7,Out,Concussion,,
Clayton Geathers,IND,OAK,2018-10-28,2018,8,Questionable,Neck,,
Clayton Geathers,IND,DAL,2018-12-16,2018,15,Questionable,Knee,,
Clayton Geathers,IND,NYG,2018-12-23,2018,16,Out,Knee,,
Clayton Geathers,IND,TEN,2018-12-30,2018,17,Questionable,Knee,,
Clayton Geathers,IND,KAN,2019-10-06,2019,5,Out,Concussion,,
