Player,Team,Opp,Date,Season,Week,Status,Injury,Specific_Inj,Side
Corey Lemonier,NYJ,SEA,2016-10-02,2016,4,Doubtful,not injury related,,
Corey Lemonier,NYJ,BUF,2017-09-10,2017,1,Injured Reserve,Foot,,
Corey Lemonier,NYJ,OAK,2017-09-17,2017,2,Injured Reserve,Foot,,
Corey Lemonier,NYJ,MIA,2017-09-24,2017,3,Injured Reserve,Foot,,
Corey Lemonier,NYJ,JAX,2017-10-01,2017,4,Injured Reserve,Foot,,
Corey Lemonier,NYJ,CLE,2017-10-08,2017,5,Injured Reserve,Foot,,
Corey Lemonier,NYJ,NWE,2017-10-15,2017,6,Injured Reserve,Foot,,
Corey Lemonier,NYJ,MIA,2017-10-22,2017,7,Injured Reserve,Foot,,
Corey Lemonier,NYJ,ATL,2017-10-29,2017,8,Injured Reserve,Foot,,
Corey Lemonier,NYJ,BUF,2017-11-02,2017,9,Injured Reserve,Foot,,
Corey Lemonier,NYJ,TAM,2017-11-12,2017,10,Injured Reserve,Foot,,
Corey Lemonier,NYJ,CAR,2017-11-26,2017,12,Injured Reserve,Foot,,
Corey Lemonier,NYJ,KAN,2017-12-03,2017,13,Injured Reserve,Foot,,
Corey Lemonier,NYJ,DEN,2017-12-10,2017,14,Injured Reserve,Foot,,
Corey Lemonier,NYJ,NOR,2017-12-17,2017,15,Injured Reserve,Foot,,
Corey Lemonier,NYJ,LAC,2017-12-24,2017,16,Injured Reserve,Foot,,
Corey Lemonier,NYJ,NWE,2017-12-31,2017,17,Injured Reserve,Foot,,
