Player,Team,Opp,Date,Season,Week,Status,Injury,Specific_Inj,Side
Corey White,BUF,LAR,2016-10-09,2016,5,Out,shoulder,,
Corey White,BUF,SFO,2016-10-16,2016,6,Questionable,shoulder,,
Corey White,NYJ,BUF,2017-09-10,2017,1,Injured Reserve,Back,,
Corey White,NYJ,OAK,2017-09-17,2017,2,Injured Reserve,Back,,
Corey White,NYJ,MIA,2017-09-24,2017,3,Injured Reserve,Back,,
Corey White,NYJ,JAX,2017-10-01,2017,4,Injured Reserve,Back,,
Corey White,NYJ,CLE,2017-10-08,2017,5,Injured Reserve,Back,,
Corey White,NYJ,NWE,2017-10-15,2017,6,Injured Reserve,Back,,
Corey White,NYJ,MIA,2017-10-22,2017,7,Injured Reserve,Back,,
Corey White,NYJ,ATL,2017-10-29,2017,8,Injured Reserve,Back,,
Corey White,NYJ,BUF,2017-11-02,2017,9,Injured Reserve,Back,,
Corey White,NYJ,TAM,2017-11-12,2017,10,Injured Reserve,Back,,
Corey White,NYJ,CAR,2017-11-26,2017,12,Injured Reserve,Back,,
Corey White,NYJ,KAN,2017-12-03,2017,13,Injured Reserve,Back,,
Corey White,NYJ,DEN,2017-12-10,2017,14,Injured Reserve,Back,,
Corey White,NYJ,NOR,2017-12-17,2017,15,Injured Reserve,Back,,
Corey White,NYJ,LAC,2017-12-24,2017,16,Injured Reserve,Back,,
Corey White,NYJ,NWE,2017-12-31,2017,17,Injured Reserve,Back,,
