Player,Team,Opp,Date,Season,Week,Status,Injury,Specific_Inj,Side
Craig Mager,LAC,OAK,2016-10-09,2016,5,Questionable,hamstring,,
Craig Mager,LAC,DEN,2016-10-13,2016,6,Questionable,shoulder,,
Craig Mager,LAC,DEN,2016-10-30,2016,8,Out,concussion,,
Craig Mager,LAC,TEN,2016-11-06,2016,9,Out,concussion,,
Craig Mager,LAC,MIA,2016-11-13,2016,10,Questionable,concussion,,
Craig Mager,LAC,OAK,2016-12-18,2016,15,Injured Reserve,Elbow,,
Craig Mager,LAC,CLE,2016-12-24,2016,16,Injured Reserve,Elbow,,
Craig Mager,LAC,KAN,2017-01-01,2016,17,Out,shoulder,,
Craig Mager,LAC,BUF,2018-09-16,2018,2,Out,Hamstring,,
Craig Mager,LAC,LAR,2018-09-23,2018,3,Injured Reserve,Hamstring,,
Craig Mager,LAC,SFO,2018-09-30,2018,4,Injured Reserve,Hamstring,,
Craig Mager,LAC,OAK,2018-10-07,2018,5,Injured Reserve,Hamstring,,
Craig Mager,LAC,CLE,2018-10-14,2018,6,Injured Reserve,Hamstring,,
Craig Mager,LAC,TEN,2018-10-21,2018,7,Injured Reserve,Hamstring,,
Craig Mager,LAC,SEA,2018-11-04,2018,9,Injured Reserve,Hamstring,,
Craig Mager,LAC,OAK,2018-11-11,2018,10,Injured Reserve,Hamstring,,
Craig Mager,LAC,DEN,2018-11-18,2018,11,Injured Reserve,Hamstring,,
Craig Mager,LAC,ARI,2018-11-25,2018,12,Injured Reserve,Hamstring,,
Craig Mager,LAC,PIT,2018-12-02,2018,13,Injured Reserve,Hamstring,,
Craig Mager,LAC,CIN,2018-12-09,2018,14,Injured Reserve,Hamstring,,
Craig Mager,LAC,KAN,2018-12-13,2018,15,Injured Reserve,Hamstring,,
Craig Mager,LAC,BAL,2018-12-22,2018,16,Injured Reserve,Hamstring,,
Craig Mager,LAC,DEN,2018-12-30,2018,17,Injured Reserve,Hamstring,,
