Player,Team,Opp,Date,Season,Week,Status,Injury,Specific_Inj,Side
Crockett Gillmore,BAL,PIT,2016-11-06,2016,9,Out,thigh,,
Crockett Gillmore,BAL,CLE,2016-11-10,2016,10,Out,thigh,,
Crockett Gillmore,BAL,DAL,2016-11-20,2016,11,Out,thigh,,
Crockett Gillmore,BAL,CIN,2016-11-27,2016,12,Doubtful,thigh,,
Crockett Gillmore,BAL,MIA,2016-12-04,2016,13,Out,thigh,,
Crockett Gillmore,BAL,NWE,2016-12-12,2016,14,Out,thigh,,
Crockett Gillmore,BAL,PHI,2016-12-18,2016,15,Questionable,thigh,,
Crockett Gillmore,BAL,CIN,2017-09-10,2017,1,Injured Reserve,Knee,,
Crockett Gillmore,BAL,CLE,2017-09-17,2017,2,Injured Reserve,Knee,,
Crockett Gillmore,BAL,JAX,2017-09-24,2017,3,Injured Reserve,Knee,,
Crockett Gillmore,BAL,PIT,2017-10-01,2017,4,Injured Reserve,Knee,,
Crockett Gillmore,BAL,OAK,2017-10-08,2017,5,Injured Reserve,Knee,,
Crockett Gillmore,BAL,CHI,2017-10-15,2017,6,Injured Reserve,Knee,,
Crockett Gillmore,BAL,MIN,2017-10-22,2017,7,Injured Reserve,Knee,,
Crockett Gillmore,BAL,MIA,2017-10-26,2017,8,Injured Reserve,Knee,,
Crockett Gillmore,BAL,TEN,2017-11-05,2017,9,Injured Reserve,Knee,,
Crockett Gillmore,BAL,GNB,2017-11-19,2017,11,Injured Reserve,Knee,,
Crockett Gillmore,BAL,HOU,2017-11-27,2017,12,Injured Reserve,Knee,,
Crockett Gillmore,BAL,DET,2017-12-03,2017,13,Injured Reserve,Knee,,
Crockett Gillmore,BAL,PIT,2017-12-10,2017,14,Injured Reserve,Knee,,
Crockett Gillmore,BAL,CLE,2017-12-17,2017,15,Injured Reserve,Knee,,
Crockett Gillmore,BAL,IND,2017-12-23,2017,16,Injured Reserve,Knee,,
Crockett Gillmore,BAL,CIN,2017-12-31,2017,17,Injured Reserve,Knee,,
