Player,Team,Opp,Date,Season,Week,Status,Injury,Specific_Inj,Side
Cyrus Kouandjio,BUF,NWE,2016-10-02,2016,4,Out,ankle,,
Cyrus Kouandjio,BUF,LAR,2016-10-09,2016,5,Out,ankle,,
Cyrus Kouandjio,BUF,SFO,2016-10-16,2016,6,Questionable,ankle,,
Cyrus Kouandjio,DET,ARI,2017-09-10,2017,1,Injured Reserve,Hip,,
Cyrus Kouandjio,DET,NYG,2017-09-18,2017,2,Injured Reserve,Hip,,
Cyrus Kouandjio,DET,ATL,2017-09-24,2017,3,Injured Reserve,Hip,,
Cyrus Kouandjio,DET,MIN,2017-10-01,2017,4,Injured Reserve,Hip,,
Cyrus Kouandjio,DET,CAR,2017-10-08,2017,5,Injured Reserve,Hip,,
Cyrus Kouandjio,DET,NOR,2017-10-15,2017,6,Injured Reserve,Hip,,
Cyrus Kouandjio,DET,PIT,2017-10-29,2017,8,Injured Reserve,Hip,,
Cyrus Kouandjio,DET,GNB,2017-11-06,2017,9,Injured Reserve,Hip,,
Cyrus Kouandjio,DET,CHI,2017-11-19,2017,11,Injured Reserve,Hip,,
Cyrus Kouandjio,DET,MIN,2017-11-23,2017,12,Injured Reserve,Hip,,
Cyrus Kouandjio,DET,BAL,2017-12-03,2017,13,Injured Reserve,Hip,,
Cyrus Kouandjio,DET,TAM,2017-12-10,2017,14,Injured Reserve,Hip,,
Cyrus Kouandjio,DET,CHI,2017-12-16,2017,15,Injured Reserve,Hip,,
