Player,Team,Opp,Date,Season,Week,Status,Injury,Specific_Inj,Side
Dadi Nicolas,KAN,NWE,2017-09-07,2017,1,Injured Reserve,Knee,,
Dadi Nicolas,KAN,PHI,2017-09-17,2017,2,Injured Reserve,Knee,,
Dadi Nicolas,KAN,LAC,2017-09-24,2017,3,Injured Reserve,Knee,,
Dadi Nicolas,KAN,WAS,2017-10-02,2017,4,Injured Reserve,Knee,,
Dadi Nicolas,KAN,HOU,2017-10-08,2017,5,Injured Reserve,Knee,,
Dadi Nicolas,KAN,PIT,2017-10-15,2017,6,Injured Reserve,Knee,,
Dadi Nicolas,KAN,OAK,2017-10-19,2017,7,Injured Reserve,Knee,,
Dadi Nicolas,KAN,DEN,2017-10-30,2017,8,Injured Reserve,Knee,,
Dadi Nicolas,KAN,DAL,2017-11-05,2017,9,Injured Reserve,Knee,,
Dadi Nicolas,KAN,NYG,2017-11-19,2017,11,Injured Reserve,Knee,,
Dadi Nicolas,KAN,BUF,2017-11-26,2017,12,Injured Reserve,Knee,,
Dadi Nicolas,KAN,NYJ,2017-12-03,2017,13,Injured Reserve,Knee,,
Dadi Nicolas,KAN,OAK,2017-12-10,2017,14,Injured Reserve,Knee,,
Dadi Nicolas,KAN,LAC,2017-12-16,2017,15,Injured Reserve,Knee,,
Dadi Nicolas,KAN,MIA,2017-12-24,2017,16,Injured Reserve,Knee,,
Dadi Nicolas,KAN,DEN,2017-12-31,2017,17,Injured Reserve,Knee,,
Dadi Nicolas,DEN,OAK,2019-09-09,2019,1,Injured Reserve,,,
Dadi Nicolas,DEN,CHI,2019-09-15,2019,2,Injured Reserve,,,
Dadi Nicolas,DEN,GNB,2019-09-22,2019,3,Injured Reserve,,,
Dadi Nicolas,DEN,JAX,2019-09-29,2019,4,Injured Reserve,,,
