Player,Team,Opp,Date,Season,Week,Status,Injury,Specific_Inj,Side
Daniel Kilgore,SFO,ATL,2016-12-18,2016,15,Injured Reserve,Hamstring,,
Daniel Kilgore,SFO,LAR,2016-12-24,2016,16,Injured Reserve,Hamstring,,
Daniel Kilgore,SFO,SEA,2017-01-01,2016,17,Injured Reserve,Hamstring,,
Daniel Kilgore,MIA,CIN,2018-10-07,2018,5,Injured Reserve,Arm,,
Daniel Kilgore,MIA,CHI,2018-10-14,2018,6,Injured Reserve,Arm,,
Daniel Kilgore,MIA,DET,2018-10-21,2018,7,Injured Reserve,Arm,,
Daniel Kilgore,MIA,HOU,2018-10-25,2018,8,Injured Reserve,Arm,,
Daniel Kilgore,MIA,NYJ,2018-11-04,2018,9,Injured Reserve,Arm,,
Daniel Kilgore,MIA,GNB,2018-11-11,2018,10,Injured Reserve,Arm,,
Daniel Kilgore,MIA,IND,2018-11-25,2018,12,Injured Reserve,Arm,,
Daniel Kilgore,MIA,BUF,2018-12-02,2018,13,Injured Reserve,Arm,,
Daniel Kilgore,MIA,NWE,2018-12-09,2018,14,Injured Reserve,Arm,,
Daniel Kilgore,MIA,MIN,2018-12-16,2018,15,Injured Reserve,Arm,,
Daniel Kilgore,MIA,JAX,2018-12-23,2018,16,Injured Reserve,Arm,,
Daniel Kilgore,MIA,BUF,2018-12-30,2018,17,Injured Reserve,Arm,,
Daniel Kilgore,MIA,NWE,2019-09-15,2019,2,Questionable,Shoulder,,
Daniel Kilgore,MIA,BUF,2019-10-20,2019,7,Out,Knee,,
Daniel Kilgore,MIA,PIT,2019-10-28,2019,8,Out,Knee,,
Daniel Kilgore,MIA,NYJ,2019-11-03,2019,9,Doubtful,Knee,,
Daniel Kilgore,MIA,IND,2019-11-10,2019,10,Questionable,Knee,,
