Player,Team,Opp,Date,Season,Week,Status,Injury,Specific_Inj,Side
Danny Amendola,NWE,BAL,2016-12-12,2016,14,Out,ankle,,
Danny Amendola,NWE,DEN,2016-12-18,2016,15,Out,ankle,,
Danny Amendola,NWE,NYJ,2016-12-24,2016,16,Out,ankle,,
Danny Amendola,NWE,MIA,2017-01-01,2016,17,Out,ankle,,
Danny Amendola,NWE,NOR,2017-09-17,2017,2,Out,Concussion,,
Danny Amendola,NWE,HOU,2017-09-24,2017,3,Questionable,Concussion,,
Danny Amendola,NWE,LAC,2017-10-29,2017,8,Questionable,Knee,,
Danny Amendola,NWE,DEN,2017-11-12,2017,10,Questionable,Knee,,
Danny Amendola,NWE,OAK,2017-11-19,2017,11,Questionable,Knee,,
Danny Amendola,NWE,MIA,2017-11-26,2017,12,Questionable,Knee,,
Danny Amendola,MIA,IND,2018-11-25,2018,12,Questionable,Hamstring,,
Danny Amendola,MIA,BUF,2018-12-02,2018,13,Doubtful,Knee,,
Danny Amendola,MIA,NWE,2018-12-09,2018,14,Questionable,Knee,,
Danny Amendola,DET,KAN,2019-09-29,2019,4,Questionable,Chest,,
Danny Amendola,DET,GNB,2019-10-14,2019,6,Questionable,Chest,,
Danny Amendola,DET,CHI,2020-09-13,2020,1,Questionable,Hamstring,,
Danny Amendola,DET,CAR,2020-11-22,2020,11,Out,Hip,,
Danny Amendola,DET,HOU,2020-11-26,2020,12,Out,Hip,,
