Player,Team,Opp,Date,Season,Week,Status,Injury,Specific_Inj,Side
Danny Mason,CHI,HOU,2016-09-11,2016,1,Injured Reserve,Undisclosed,,
Danny Mason,CHI,PHI,2016-09-19,2016,2,Injured Reserve,Undisclosed,,
Danny Mason,CHI,DAL,2016-09-25,2016,3,Injured Reserve,Undisclosed,,
Danny Mason,CHI,DET,2016-10-02,2016,4,Injured Reserve,Undisclosed,,
Danny Mason,CHI,IND,2016-10-09,2016,5,Injured Reserve,Undisclosed,,
Danny Mason,CHI,JAX,2016-10-16,2016,6,Injured Reserve,Undisclosed,,
Danny Mason,CHI,GNB,2016-10-20,2016,7,Injured Reserve,Undisclosed,,
Danny Mason,CHI,MIN,2016-10-31,2016,8,Injured Reserve,Undisclosed,,
Danny Mason,CHI,TAM,2016-11-13,2016,10,Injured Reserve,Undisclosed,,
Danny Mason,CHI,NYG,2016-11-20,2016,11,Injured Reserve,Undisclosed,,
Danny Mason,CHI,TEN,2016-11-27,2016,12,Injured Reserve,Undisclosed,,
Danny Mason,CHI,SFO,2016-12-04,2016,13,Injured Reserve,Undisclosed,,
Danny Mason,CHI,DET,2016-12-11,2016,14,Injured Reserve,Undisclosed,,
Danny Mason,CHI,GNB,2016-12-18,2016,15,Injured Reserve,Undisclosed,,
Danny Mason,CHI,WAS,2016-12-24,2016,16,Injured Reserve,Undisclosed,,
Danny Mason,CHI,MIN,2017-01-01,2016,17,Injured Reserve,Undisclosed,,
