Player,Team,Opp,Date,Season,Week,Status,Injury,Specific_Inj,Side
Davontae Harris,CIN,IND,2018-09-09,2018,1,Injured Reserve,Knee,,
Davontae Harris,CIN,BAL,2018-09-13,2018,2,Injured Reserve,Knee,,
Davontae Harris,CIN,CAR,2018-09-23,2018,3,Injured Reserve,Knee,,
Davontae Harris,CIN,ATL,2018-09-30,2018,4,Injured Reserve,Knee,,
Davontae Harris,CIN,MIA,2018-10-07,2018,5,Injured Reserve,Knee,,
Davontae Harris,CIN,PIT,2018-10-14,2018,6,Injured Reserve,Knee,,
Davontae Harris,CIN,KAN,2018-10-21,2018,7,Injured Reserve,Knee,,
Davontae Harris,CIN,TAM,2018-10-28,2018,8,Injured Reserve,Knee,,
Davontae Harris,CIN,NOR,2018-11-11,2018,10,Injured Reserve,Knee,,
Davontae Harris,CIN,BAL,2018-11-18,2018,11,Injured Reserve,Knee,,
Davontae Harris,CIN,CLE,2018-11-25,2018,12,Injured Reserve,Knee,,
Davontae Harris,CIN,DEN,2018-12-02,2018,13,Injured Reserve,Knee,,
Davontae Harris,CIN,OAK,2018-12-16,2018,15,Injured Reserve,Knee,,
Davontae Harris,BAL,DAL,2020-12-08,2020,13,Questionable,Thigh,,
Davontae Harris,BAL,JAX,2020-12-20,2020,15,Questionable,Ankle,,
Davontae Harris,BAL,NYG,2020-12-27,2020,16,Injured Reserve,,,
Davontae Harris,BAL,CIN,2021-01-03,2020,17,Injured Reserve,,,
Davontae Harris,DEN,TAM,2020-09-27,2020,3,Out,Hamstring,,
Davontae Harris,DEN,NYJ,2020-10-01,2020,4,Questionable,Hamstring,,
