Player,Team,Opp,Date,Season,Week,Status,Injury,Specific_Inj,Side
DeAndre Elliott,SEA,NOR,2016-10-30,2016,8,Out,hamstring,,
DeAndre Elliott,SEA,BUF,2016-11-07,2016,9,Out,hamstring,,
DeAndre Elliott,SEA,NWE,2016-11-13,2016,10,Questionable,hamstring,,
DeAndre Elliott,SEA,GNB,2017-09-10,2017,1,Injured Reserve,Ankle,,
DeAndre Elliott,SEA,SFO,2017-09-17,2017,2,Injured Reserve,Ankle,,
DeAndre Elliott,SEA,TEN,2017-09-24,2017,3,Injured Reserve,Ankle,,
DeAndre Elliott,SEA,IND,2017-10-01,2017,4,Injured Reserve,Ankle,,
DeAndre Elliott,SEA,LAR,2017-10-08,2017,5,Injured Reserve,Ankle,,
DeAndre Elliott,SEA,NYG,2017-10-22,2017,7,Injured Reserve,Ankle,,
DeAndre Elliott,SEA,HOU,2017-10-29,2017,8,Injured Reserve,Ankle,,
DeAndre Elliott,SEA,WAS,2017-11-05,2017,9,Injured Reserve,Ankle,,
DeAndre Elliott,SEA,ARI,2017-11-09,2017,10,Injured Reserve,Ankle,,
DeAndre Elliott,SEA,ATL,2017-11-20,2017,11,Injured Reserve,Ankle,,
DeAndre Elliott,SEA,SFO,2017-11-26,2017,12,Injured Reserve,Ankle,,
DeAndre Elliott,SEA,PHI,2017-12-03,2017,13,Injured Reserve,Ankle,,
DeAndre Elliott,SEA,JAX,2017-12-10,2017,14,Injured Reserve,Ankle,,
DeAndre Elliott,SEA,LAR,2017-12-17,2017,15,Injured Reserve,Ankle,,
DeAndre Elliott,SEA,DAL,2017-12-24,2017,16,Injured Reserve,Ankle,,
DeAndre Elliott,SEA,ARI,2017-12-31,2017,17,Injured Reserve,Ankle,,
