Player,Team,Opp,Date,Season,Week,Status,Injury,Specific_Inj,Side
Deebo Samuel,SFO,WAS,2019-10-20,2019,7,Out,Groin,,
Deebo Samuel,SFO,GNB,2019-11-24,2019,12,Questionable,Shoulder,,
Deebo Samuel,SFO,ARI,2020-09-13,2020,1,Injured Reserve,,,
Deebo Samuel,SFO,NYJ,2020-09-20,2020,2,Injured Reserve,,,
Deebo Samuel,SFO,NYG,2020-09-27,2020,3,Injured Reserve,,,
Deebo Samuel,SFO,PHI,2020-10-04,2020,4,Injured Reserve,,,
Deebo Samuel,SFO,MIA,2020-10-11,2020,5,Questionable,Illness,,
Deebo Samuel,SFO,SEA,2020-11-01,2020,8,Out,Hamstring,,
Deebo Samuel,SFO,GNB,2020-11-05,2020,9,Out,Hamstring,,
Deebo Samuel,SFO,NOR,2020-11-15,2020,10,Out,Hamstring,,
Deebo Samuel,SFO,DAL,2020-12-20,2020,15,Out,Hamstring,,
Deebo Samuel,SFO,ARI,2020-12-26,2020,16,Out,Hamstring,,
Deebo Samuel,SFO,SEA,2021-01-03,2020,17,Out,Hamstring,,
