Player,Team,Opp,Date,Season,Week,Status,Injury,Specific_Inj,Side
Dennis Daley,CAR,TAM,2019-10-13,2019,6,Questionable,Groin,,
Dennis Daley,CAR,ATL,2019-11-17,2019,11,Doubtful,Groin,,
Dennis Daley,CAR,NOR,2019-11-24,2019,12,Questionable,Groin,,
Dennis Daley,CAR,LVR,2020-09-13,2020,1,Out,Ankle,,
Dennis Daley,CAR,TAM,2020-09-20,2020,2,Out,Ankle,,
Dennis Daley,CAR,LAC,2020-09-27,2020,3,Doubtful,Ankle,,
Dennis Daley,CAR,ARI,2020-10-04,2020,4,Questionable,Ankle,,
Dennis Daley,CAR,MIN,2020-11-29,2020,12,Out,Concussion,,
Dennis Daley,CAR,DEN,2020-12-13,2020,14,Out,Concussion,,
Dennis Daley,CAR,GNB,2020-12-19,2020,15,Doubtful,Concussion,,
Dennis Daley,CAR,WAS,2020-12-27,2020,16,Injured Reserve,,,
Dennis Daley,CAR,NOR,2021-01-03,2020,17,Injured Reserve,,,
