Player,Team,Opp,Date,Season,Week,Status,Injury,Specific_Inj,Side
Derek Rivers,NWE,KAN,2017-09-07,2017,1,Injured Reserve,Knee,,
Derek Rivers,NWE,NOR,2017-09-17,2017,2,Injured Reserve,Knee,,
Derek Rivers,NWE,HOU,2017-09-24,2017,3,Injured Reserve,Knee,,
Derek Rivers,NWE,CAR,2017-10-01,2017,4,Injured Reserve,Knee,,
Derek Rivers,NWE,TAM,2017-10-05,2017,5,Injured Reserve,Knee,,
Derek Rivers,NWE,NYJ,2017-10-15,2017,6,Injured Reserve,Knee,,
Derek Rivers,NWE,ATL,2017-10-22,2017,7,Injured Reserve,Knee,,
Derek Rivers,NWE,LAC,2017-10-29,2017,8,Injured Reserve,Knee,,
Derek Rivers,NWE,DEN,2017-11-12,2017,10,Injured Reserve,Knee,,
Derek Rivers,NWE,OAK,2017-11-19,2017,11,Injured Reserve,Knee,,
Derek Rivers,NWE,MIA,2017-11-26,2017,12,Injured Reserve,Knee,,
Derek Rivers,NWE,BUF,2017-12-03,2017,13,Injured Reserve,Knee,,
Derek Rivers,NWE,MIA,2017-12-11,2017,14,Injured Reserve,Knee,,
Derek Rivers,NWE,PIT,2017-12-17,2017,15,Injured Reserve,Knee,,
Derek Rivers,NWE,BUF,2017-12-24,2017,16,Injured Reserve,Knee,,
Derek Rivers,NWE,NYJ,2017-12-31,2017,17,Injured Reserve,Knee,,
Derek Rivers,NWE,PIT,2019-09-08,2019,1,Injured Reserve,,,
Derek Rivers,NWE,MIA,2019-09-15,2019,2,Injured Reserve,,,
Derek Rivers,NWE,NYJ,2019-09-22,2019,3,Injured Reserve,,,
Derek Rivers,NWE,BUF,2019-09-29,2019,4,Injured Reserve,,,
Derek Rivers,NWE,WAS,2019-10-06,2019,5,Injured Reserve,,,
Derek Rivers,NWE,NYG,2019-10-10,2019,6,Injured Reserve,,,
Derek Rivers,NWE,NYJ,2019-10-21,2019,7,Injured Reserve,,,
Derek Rivers,NWE,CLE,2019-10-27,2019,8,Injured Reserve,,,
Derek Rivers,NWE,BAL,2019-11-03,2019,9,Injured Reserve,,,
Derek Rivers,NWE,PHI,2019-11-17,2019,11,Injured Reserve,,,
Derek Rivers,NWE,DAL,2019-11-24,2019,12,Injured Reserve,,,
Derek Rivers,NWE,HOU,2019-12-01,2019,13,Injured Reserve,,,
Derek Rivers,NWE,KAN,2019-12-08,2019,14,Injured Reserve,,,
Derek Rivers,NWE,CIN,2019-12-15,2019,15,Injured Reserve,,,
Derek Rivers,NWE,BUF,2019-12-21,2019,16,Injured Reserve,,,
Derek Rivers,NWE,MIA,2019-12-29,2019,17,Injured Reserve,,,
Derek Rivers,NWE,SFO,2020-10-25,2020,7,Questionable,Back,,
