Player,Team,Opp,Date,Season,Week,Status,Injury,Specific_Inj,Side
Devante Bond,TAM,ATL,2016-09-11,2016,1,Injured Reserve,Hamstring,,
Devante Bond,TAM,ARI,2016-09-18,2016,2,Injured Reserve,Hamstring,,
Devante Bond,TAM,LAR,2016-09-25,2016,3,Injured Reserve,Hamstring,,
Devante Bond,TAM,DEN,2016-10-02,2016,4,Injured Reserve,Hamstring,,
Devante Bond,TAM,CAR,2016-10-10,2016,5,Injured Reserve,Hamstring,,
Devante Bond,TAM,SFO,2016-10-23,2016,7,Injured Reserve,Hamstring,,
Devante Bond,TAM,OAK,2016-10-30,2016,8,Injured Reserve,Hamstring,,
Devante Bond,TAM,ATL,2016-11-03,2016,9,Injured Reserve,Hamstring,,
Devante Bond,TAM,CHI,2016-11-13,2016,10,Injured Reserve,Hamstring,,
Devante Bond,TAM,KAN,2016-11-20,2016,11,Injured Reserve,Hamstring,,
Devante Bond,TAM,SEA,2016-11-27,2016,12,Injured Reserve,Hamstring,,
Devante Bond,TAM,SDG,2016-12-04,2016,13,Injured Reserve,Hamstring,,
Devante Bond,TAM,NOR,2016-12-11,2016,14,Injured Reserve,Hamstring,,
Devante Bond,TAM,DAL,2016-12-18,2016,15,Injured Reserve,Hamstring,,
Devante Bond,TAM,NOR,2016-12-24,2016,16,Injured Reserve,Hamstring,,
Devante Bond,TAM,CAR,2017-01-01,2016,17,Injured Reserve,Hamstring,,
Devante Bond,TAM,CHI,2017-09-17,2017,2,Out,Knee,,
Devante Bond,TAM,MIN,2017-09-24,2017,3,Questionable,Knee,,
Devante Bond,TAM,NOR,2017-12-31,2017,17,Doubtful,Ankle,,
Devante Bond,TAM,NOR,2018-09-09,2018,1,Injured Reserve,Foot,,
Devante Bond,TAM,PHI,2018-09-16,2018,2,Injured Reserve,Foot,,
Devante Bond,TAM,PIT,2018-09-24,2018,3,Injured Reserve,Foot,,
Devante Bond,TAM,CHI,2018-09-30,2018,4,Injured Reserve,Foot,,
Devante Bond,TAM,ATL,2018-10-14,2018,6,Injured Reserve,Foot,,
Devante Bond,TAM,ATL,2018-12-30,2018,17,Questionable,Illness,,
Devante Bond,TAM,NYG,2019-09-22,2019,3,Out,Hamstring,,
