Player,Team,Opp,Date,Season,Week,Status,Injury,Specific_Inj,Side
Dom Williams,PHI,WAS,2017-09-10,2017,1,Injured Reserve,Achilles,,
Dom Williams,PHI,KAN,2017-09-17,2017,2,Injured Reserve,Achilles,,
Dom Williams,PHI,NYG,2017-09-24,2017,3,Injured Reserve,Achilles,,
Dom Williams,PHI,LAC,2017-10-01,2017,4,Injured Reserve,Achilles,,
Dom Williams,PHI,ARI,2017-10-08,2017,5,Injured Reserve,Achilles,,
Dom Williams,PHI,CAR,2017-10-12,2017,6,Injured Reserve,Achilles,,
Dom Williams,PHI,WAS,2017-10-23,2017,7,Injured Reserve,Achilles,,
Dom Williams,PHI,SFO,2017-10-29,2017,8,Injured Reserve,Achilles,,
Dom Williams,PHI,DEN,2017-11-05,2017,9,Injured Reserve,Achilles,,
Dom Williams,PHI,DAL,2017-11-19,2017,11,Injured Reserve,Achilles,,
Dom Williams,PHI,CHI,2017-11-26,2017,12,Injured Reserve,Achilles,,
Dom Williams,PHI,SEA,2017-12-03,2017,13,Injured Reserve,Achilles,,
Dom Williams,PHI,LAR,2017-12-10,2017,14,Injured Reserve,Achilles,,
Dom Williams,PHI,NYG,2017-12-17,2017,15,Injured Reserve,Achilles,,
Dom Williams,PHI,OAK,2017-12-25,2017,16,Injured Reserve,Achilles,,
Dom Williams,PHI,DAL,2017-12-31,2017,17,Injured Reserve,Achilles,,
