Player,Team,Opp,Date,Season,Week,Status,Injury,Specific_Inj,Side
Dominique Rodgers-Cromartie,NYG,MIN,2016-10-03,2016,4,Questionable,groin,,
Dominique Rodgers-Cromartie,NYG,GNB,2016-10-09,2016,5,Questionable,groin,,
Dominique Rodgers-Cromartie,NYG,BAL,2016-10-16,2016,6,Questionable,groin,,
Dominique Rodgers-Cromartie,OAK,CLE,2018-09-30,2018,4,Questionable,Hamstring,,
Dominique Rodgers-Cromartie,WAS,CHI,2019-09-23,2019,3,Injured Reserve,,,
Dominique Rodgers-Cromartie,WAS,NYG,2019-09-29,2019,4,Injured Reserve,,,
Dominique Rodgers-Cromartie,WAS,NWE,2019-10-06,2019,5,Injured Reserve,,,
Dominique Rodgers-Cromartie,WAS,MIA,2019-10-13,2019,6,Injured Reserve,,,
Dominique Rodgers-Cromartie,WAS,SFO,2019-10-20,2019,7,Injured Reserve,,,
Dominique Rodgers-Cromartie,WAS,MIN,2019-10-24,2019,8,Injured Reserve,,,
Dominique Rodgers-Cromartie,WAS,BUF,2019-11-03,2019,9,Injured Reserve,,,
Dominique Rodgers-Cromartie,WAS,NYJ,2019-11-17,2019,11,Injured Reserve,,,
Dominique Rodgers-Cromartie,WAS,DET,2019-11-24,2019,12,Injured Reserve,,,
Dominique Rodgers-Cromartie,WAS,CAR,2019-12-01,2019,13,Injured Reserve,,,
Dominique Rodgers-Cromartie,WAS,GNB,2019-12-08,2019,14,Injured Reserve,,,
Dominique Rodgers-Cromartie,WAS,PHI,2019-12-15,2019,15,Injured Reserve,,,
Dominique Rodgers-Cromartie,WAS,NYG,2019-12-22,2019,16,Injured Reserve,,,
Dominique Rodgers-Cromartie,WAS,DAL,2019-12-29,2019,17,Injured Reserve,,,
