Player,Team,Opp,Date,Season,Week,Status,Injury,Specific_Inj,Side
Don Jones,SFO,CAR,2017-09-10,2017,1,Injured Reserve,Knee,,
Don Jones,SFO,SEA,2017-09-17,2017,2,Injured Reserve,Knee,,
Don Jones,SFO,LAR,2017-09-21,2017,3,Injured Reserve,Knee,,
Don Jones,SFO,ARI,2017-10-01,2017,4,Injured Reserve,Knee,,
Don Jones,SFO,IND,2017-10-08,2017,5,Injured Reserve,Knee,,
Don Jones,SFO,WAS,2017-10-15,2017,6,Injured Reserve,Knee,,
Don Jones,SFO,DAL,2017-10-22,2017,7,Injured Reserve,Knee,,
Don Jones,SFO,PHI,2017-10-29,2017,8,Injured Reserve,Knee,,
Don Jones,SFO,ARI,2017-11-05,2017,9,Injured Reserve,Knee,,
Don Jones,SFO,NYG,2017-11-12,2017,10,Injured Reserve,Knee,,
Don Jones,SFO,SEA,2017-11-26,2017,12,Injured Reserve,Knee,,
Don Jones,SFO,CHI,2017-12-03,2017,13,Injured Reserve,Knee,,
Don Jones,SFO,HOU,2017-12-10,2017,14,Injured Reserve,Knee,,
Don Jones,SFO,TEN,2017-12-17,2017,15,Injured Reserve,Knee,,
Don Jones,SFO,JAX,2017-12-24,2017,16,Injured Reserve,Knee,,
Don Jones,SFO,LAR,2017-12-31,2017,17,Injured Reserve,Knee,,
