Player,Team,Opp,Date,Season,Week,Status,Injury,Specific_Inj,Side
Dont'a Hightower,NWE,MIA,2016-09-18,2016,2,Doubtful,knee,,
Dont'a Hightower,NWE,HOU,2016-09-22,2016,3,Questionable,knee,,
Dont'a Hightower,NWE,BUF,2016-10-02,2016,4,Questionable,knee,,
Dont'a Hightower,NWE,CLE,2016-10-09,2016,5,Questionable,knee,,
Dont'a Hightower,NWE,CIN,2016-10-16,2016,6,Questionable,knee,,
Dont'a Hightower,NWE,DEN,2016-12-18,2016,15,Questionable,knee,,
Dont'a Hightower,NWE,NYJ,2016-12-24,2016,16,Questionable,knee,,
Dont'a Hightower,NWE,MIA,2017-01-01,2016,17,Questionable,knee,,
Dont'a Hightower,NWE,NOR,2017-09-17,2017,2,Out,Knee,,
Dont'a Hightower,NWE,HOU,2017-09-24,2017,3,Questionable,Knee,,
Dont'a Hightower,NWE,CAR,2017-10-01,2017,4,Questionable,Knee,,
Dont'a Hightower,NWE,TAM,2017-10-05,2017,5,Questionable,Knee,,
Dont'a Hightower,NWE,LAC,2017-10-29,2017,8,Injured Reserve,Pectoral,,
Dont'a Hightower,NWE,DEN,2017-11-12,2017,10,Injured Reserve,Pectoral,,
Dont'a Hightower,NWE,OAK,2017-11-19,2017,11,Injured Reserve,Pectoral,,
Dont'a Hightower,NWE,MIA,2017-11-26,2017,12,Injured Reserve,Pectoral,,
Dont'a Hightower,NWE,BUF,2017-12-03,2017,13,Injured Reserve,Pectoral,,
Dont'a Hightower,NWE,MIA,2017-12-11,2017,14,Injured Reserve,Pectoral,,
Dont'a Hightower,NWE,PIT,2017-12-17,2017,15,Injured Reserve,Pectoral,,
Dont'a Hightower,NWE,BUF,2017-12-24,2017,16,Injured Reserve,Pectoral,,
Dont'a Hightower,NWE,NYJ,2017-12-31,2017,17,Injured Reserve,Pectoral,,
Dont'a Hightower,NWE,BUF,2018-10-29,2018,8,Questionable,Knee,,
Dont'a Hightower,NWE,GNB,2018-11-04,2018,9,Questionable,Knee,,
Dont'a Hightower,NWE,TEN,2018-11-11,2018,10,Questionable,Knee,,
Dont'a Hightower,NWE,BUF,2019-09-29,2019,4,Questionable,Shoulder,,
Dont'a Hightower,NWE,WAS,2019-10-06,2019,5,Questionable,Shoulder,,
Dont'a Hightower,NWE,HOU,2019-12-01,2019,13,Questionable,Illness,,
Dont'a Hightower,NWE,MIA,2020-09-13,2020,1,Injured Reserve,,,
Dont'a Hightower,NWE,SEA,2020-09-20,2020,2,Injured Reserve,,,
Dont'a Hightower,NWE,LVR,2020-09-27,2020,3,Injured Reserve,,,
Dont'a Hightower,NWE,KAN,2020-10-05,2020,4,Injured Reserve,,,
Dont'a Hightower,NWE,DEN,2020-10-18,2020,6,Injured Reserve,,,
Dont'a Hightower,NWE,SFO,2020-10-25,2020,7,Injured Reserve,,,
Dont'a Hightower,NWE,BUF,2020-11-01,2020,8,Injured Reserve,,,
Dont'a Hightower,NWE,NYJ,2020-11-09,2020,9,Injured Reserve,,,
Dont'a Hightower,NWE,BAL,2020-11-15,2020,10,Injured Reserve,,,
Dont'a Hightower,NWE,HOU,2020-11-22,2020,11,Injured Reserve,,,
Dont'a Hightower,NWE,ARI,2020-11-29,2020,12,Injured Reserve,,,
Dont'a Hightower,NWE,LAC,2020-12-06,2020,13,Injured Reserve,,,
Dont'a Hightower,NWE,LAR,2020-12-10,2020,14,Injured Reserve,,,
Dont'a Hightower,NWE,MIA,2020-12-20,2020,15,Injured Reserve,,,
Dont'a Hightower,NWE,BUF,2020-12-28,2020,16,Injured Reserve,,,
Dont'a Hightower,NWE,NYJ,2021-01-03,2020,17,Injured Reserve,,,
