Player,Team,Opp,Date,Season,Week,Status,Injury,Specific_Inj,Side
Dontae Johnson,SFO,LAR,2016-12-24,2016,16,Doubtful,groin,,
Dontae Johnson,SFO,SEA,2017-01-01,2016,17,Questionable,groin,,
Dontae Johnson,SEA,DEN,2018-09-09,2018,1,Questionable,Hip,,
Dontae Johnson,SEA,CHI,2018-09-17,2018,2,Injured Reserve,Foot,,
Dontae Johnson,SEA,DAL,2018-09-23,2018,3,Injured Reserve,Foot,,
Dontae Johnson,SEA,ARI,2018-09-30,2018,4,Injured Reserve,Foot,,
Dontae Johnson,SEA,LAR,2018-10-07,2018,5,Injured Reserve,Foot,,
Dontae Johnson,SEA,OAK,2018-10-14,2018,6,Injured Reserve,Foot,,
Dontae Johnson,SEA,DET,2018-10-28,2018,8,Injured Reserve,Foot,,
Dontae Johnson,SEA,LAC,2018-11-04,2018,9,Injured Reserve,Foot,,
Dontae Johnson,SEA,LAR,2018-11-11,2018,10,Injured Reserve,Foot,,
Dontae Johnson,SEA,GNB,2018-11-15,2018,11,Injured Reserve,Foot,,
Dontae Johnson,SEA,CAR,2018-11-25,2018,12,Injured Reserve,Foot,,
Dontae Johnson,SEA,SFO,2018-12-02,2018,13,Injured Reserve,Foot,,
Dontae Johnson,SEA,MIN,2018-12-10,2018,14,Injured Reserve,Foot,,
Dontae Johnson,SEA,SFO,2018-12-16,2018,15,Injured Reserve,Foot,,
Dontae Johnson,SEA,KAN,2018-12-23,2018,16,Injured Reserve,Foot,,
Dontae Johnson,SEA,ARI,2018-12-30,2018,17,Injured Reserve,Foot,,
Dontae Johnson,SFO,MIA,2020-10-11,2020,5,Out,Groin,,
Dontae Johnson,SFO,LAR,2020-10-18,2020,6,Out,Groin,,
