Player,Team,Opp,Date,Season,Week,Status,Injury,Specific_Inj,Side
Doug Martin,TAM,ARI,2016-09-18,2016,2,day-to-day,hamstring,,
Doug Martin,TAM,LAR,2016-09-25,2016,3,Out,hamstring,,
Doug Martin,TAM,DEN,2016-10-02,2016,4,Out,hamstring,,
Doug Martin,TAM,CAR,2016-10-10,2016,5,Doubtful,hamstring,,
Doug Martin,TAM,SFO,2016-10-23,2016,7,Out,hamstring,,
Doug Martin,TAM,OAK,2016-10-30,2016,8,Out,hamstring,,
Doug Martin,TAM,ATL,2016-11-03,2016,9,Out,hamstring,,
Doug Martin,TAM,CHI,2016-11-13,2016,10,Questionable,hamstring,,
Doug Martin,TAM,KAN,2016-11-20,2016,11,day-to-day,hamstring,,
Doug Martin,TAM,SEA,2016-11-27,2016,12,day-to-day,hamstring,,
Doug Martin,TAM,SDG,2016-12-04,2016,13,day-to-day,hamstring,,
Doug Martin,TAM,NOR,2016-12-11,2016,14,day-to-day,hamstring,,
Doug Martin,TAM,DAL,2016-12-18,2016,15,day-to-day,hamstring,,
Doug Martin,TAM,NOR,2016-12-24,2016,16,day-to-day,hamstring,,
Doug Martin,TAM,CAR,2017-01-01,2016,17,day-to-day,hamstring,,
Doug Martin,TAM,GNB,2017-12-03,2017,13,Out,Concussion,,
Doug Martin,OAK,PIT,2018-12-09,2018,14,Questionable,Knee,,
