Player,Team,Opp,Date,Season,Week,Status,Injury,Specific_Inj,Side
Durell Eskridge,ARI,NWE,2016-09-11,2016,1,Injured Reserve,Arm,,
Durell Eskridge,ARI,TAM,2016-09-18,2016,2,Injured Reserve,Arm,,
Durell Eskridge,ARI,BUF,2016-09-25,2016,3,Injured Reserve,Arm,,
Durell Eskridge,ARI,LAR,2016-10-02,2016,4,Injured Reserve,Arm,,
Durell Eskridge,ARI,SFO,2016-10-06,2016,5,Injured Reserve,Arm,,
Durell Eskridge,ARI,NYJ,2016-10-17,2016,6,Injured Reserve,Arm,,
Durell Eskridge,ARI,SEA,2016-10-23,2016,7,Injured Reserve,Arm,,
Durell Eskridge,ARI,CAR,2016-10-30,2016,8,Injured Reserve,Arm,,
Durell Eskridge,ARI,SFO,2016-11-13,2016,10,Injured Reserve,Arm,,
Durell Eskridge,ARI,MIN,2016-11-20,2016,11,Injured Reserve,Arm,,
Durell Eskridge,ARI,ATL,2016-11-27,2016,12,Injured Reserve,Arm,,
Durell Eskridge,ARI,WAS,2016-12-04,2016,13,Injured Reserve,Arm,,
Durell Eskridge,ARI,MIA,2016-12-11,2016,14,Injured Reserve,Arm,,
Durell Eskridge,ARI,NOR,2016-12-18,2016,15,Injured Reserve,Arm,,
Durell Eskridge,ARI,SEA,2016-12-24,2016,16,Injured Reserve,Arm,,
Durell Eskridge,ARI,LAR,2017-01-01,2016,17,Injured Reserve,Arm,,
