Player,Team,Opp,Date,Season,Week,Status,Injury,Specific_Inj,Side
Edmond Robinson,MIN,JAX,2016-12-11,2016,14,Questionable,hamstring,,
Edmond Robinson,JAX,TEN,2017-09-17,2017,2,Injured Reserve,Undisclosed,,
Edmond Robinson,JAX,BAL,2017-09-24,2017,3,Injured Reserve,Undisclosed,,
Edmond Robinson,JAX,NYJ,2017-10-01,2017,4,Injured Reserve,Undisclosed,,
Edmond Robinson,JAX,PIT,2017-10-08,2017,5,Injured Reserve,Undisclosed,,
Edmond Robinson,JAX,LAR,2017-10-15,2017,6,Injured Reserve,Undisclosed,,
Edmond Robinson,JAX,IND,2017-10-22,2017,7,Injured Reserve,Undisclosed,,
Edmond Robinson,JAX,CIN,2017-11-05,2017,9,Injured Reserve,Undisclosed,,
Edmond Robinson,JAX,LAC,2017-11-12,2017,10,Injured Reserve,Undisclosed,,
Edmond Robinson,JAX,CLE,2017-11-19,2017,11,Injured Reserve,Undisclosed,,
Edmond Robinson,JAX,ARI,2017-11-26,2017,12,Injured Reserve,Undisclosed,,
Edmond Robinson,JAX,IND,2017-12-03,2017,13,Injured Reserve,Undisclosed,,
Edmond Robinson,JAX,SEA,2017-12-10,2017,14,Injured Reserve,Undisclosed,,
Edmond Robinson,JAX,HOU,2017-12-17,2017,15,Injured Reserve,Undisclosed,,
Edmond Robinson,JAX,SFO,2017-12-24,2017,16,Injured Reserve,Undisclosed,,
Edmond Robinson,JAX,TEN,2017-12-31,2017,17,Injured Reserve,Undisclosed,,
Edmond Robinson,NYJ,OAK,2017-09-17,2017,2,Out,Groin,,
Edmond Robinson,NYJ,MIA,2017-09-24,2017,3,Injured Reserve,Groin,,
Edmond Robinson,NYJ,JAX,2017-10-01,2017,4,Injured Reserve,Groin,,
Edmond Robinson,NYJ,CLE,2017-10-08,2017,5,Injured Reserve,Groin,,
Edmond Robinson,NYJ,NWE,2017-10-15,2017,6,Injured Reserve,Groin,,
Edmond Robinson,NYJ,MIA,2017-10-22,2017,7,Injured Reserve,Groin,,
Edmond Robinson,NYJ,ATL,2017-10-29,2017,8,Injured Reserve,Groin,,
Edmond Robinson,NYJ,BUF,2017-11-02,2017,9,Injured Reserve,Groin,,
Edmond Robinson,NYJ,TAM,2017-11-12,2017,10,Injured Reserve,Groin,,
Edmond Robinson,NYJ,CAR,2017-11-26,2017,12,Injured Reserve,Groin,,
Edmond Robinson,NYJ,KAN,2017-12-03,2017,13,Injured Reserve,Groin,,
Edmond Robinson,NYJ,DEN,2017-12-10,2017,14,Injured Reserve,Groin,,
Edmond Robinson,NYJ,NOR,2017-12-17,2017,15,Injured Reserve,Groin,,
Edmond Robinson,NYJ,LAC,2017-12-24,2017,16,Injured Reserve,Groin,,
Edmond Robinson,NYJ,NWE,2017-12-31,2017,17,Injured Reserve,Groin,,
