Player,Team,Opp,Date,Season,Week,Status,Injury,Specific_Inj,Side
Elie Bouka,ARI,NWE,2016-09-11,2016,1,Injured Reserve,Hamstring,,
Elie Bouka,ARI,TAM,2016-09-18,2016,2,Injured Reserve,Hamstring,,
Elie Bouka,ARI,BUF,2016-09-25,2016,3,Injured Reserve,Hamstring,,
Elie Bouka,ARI,LAR,2016-10-02,2016,4,Injured Reserve,Hamstring,,
Elie Bouka,ARI,SFO,2016-10-06,2016,5,Injured Reserve,Hamstring,,
Elie Bouka,ARI,NYJ,2016-10-17,2016,6,Injured Reserve,Hamstring,,
Elie Bouka,ARI,SEA,2016-10-23,2016,7,Injured Reserve,Hamstring,,
Elie Bouka,ARI,CAR,2016-10-30,2016,8,Injured Reserve,Hamstring,,
Elie Bouka,ARI,SFO,2016-11-13,2016,10,Injured Reserve,Hamstring,,
Elie Bouka,ARI,MIN,2016-11-20,2016,11,Injured Reserve,Hamstring,,
Elie Bouka,ARI,ATL,2016-11-27,2016,12,Injured Reserve,Hamstring,,
Elie Bouka,ARI,WAS,2016-12-04,2016,13,Injured Reserve,Hamstring,,
Elie Bouka,ARI,MIA,2016-12-11,2016,14,Injured Reserve,Hamstring,,
Elie Bouka,ARI,NOR,2016-12-18,2016,15,Injured Reserve,Hamstring,,
Elie Bouka,ARI,SEA,2016-12-24,2016,16,Injured Reserve,Hamstring,,
Elie Bouka,ARI,LAR,2017-01-01,2016,17,Injured Reserve,Hamstring,,
Elie Bouka,PHI,ATL,2018-09-06,2018,1,Injured Reserve,Undisclosed,,
Elie Bouka,PHI,TAM,2018-09-16,2018,2,Injured Reserve,Undisclosed,,
Elie Bouka,PHI,IND,2018-09-23,2018,3,Injured Reserve,Undisclosed,,
Elie Bouka,PHI,TEN,2018-09-30,2018,4,Injured Reserve,Undisclosed,,
Elie Bouka,PHI,MIN,2018-10-07,2018,5,Injured Reserve,Undisclosed,,
Elie Bouka,PHI,NYG,2018-10-11,2018,6,Injured Reserve,Undisclosed,,
Elie Bouka,PHI,CAR,2018-10-21,2018,7,Injured Reserve,Undisclosed,,
Elie Bouka,PHI,JAX,2018-10-28,2018,8,Injured Reserve,Undisclosed,,
Elie Bouka,PHI,DAL,2018-11-11,2018,10,Injured Reserve,Undisclosed,,
Elie Bouka,PHI,NOR,2018-11-18,2018,11,Injured Reserve,Undisclosed,,
Elie Bouka,PHI,NYG,2018-11-25,2018,12,Injured Reserve,Undisclosed,,
Elie Bouka,PHI,WAS,2018-12-03,2018,13,Injured Reserve,Undisclosed,,
Elie Bouka,PHI,DAL,2018-12-09,2018,14,Injured Reserve,Undisclosed,,
Elie Bouka,PHI,LAR,2018-12-16,2018,15,Injured Reserve,Undisclosed,,
Elie Bouka,PHI,HOU,2018-12-23,2018,16,Injured Reserve,Undisclosed,,
Elie Bouka,PHI,WAS,2018-12-30,2018,17,Injured Reserve,Undisclosed,,
