Player,Team,Opp,Date,Season,Week,Status,Injury,Specific_Inj,Side
Emmanuel Moseley,SFO,NYG,2018-11-12,2018,10,Injured Reserve,Arm,,
Emmanuel Moseley,SFO,TAM,2018-11-25,2018,12,Injured Reserve,Arm,,
Emmanuel Moseley,SFO,SEA,2018-12-02,2018,13,Injured Reserve,Arm,,
Emmanuel Moseley,SFO,DEN,2018-12-09,2018,14,Injured Reserve,Arm,,
Emmanuel Moseley,SFO,SEA,2018-12-16,2018,15,Injured Reserve,Arm,,
Emmanuel Moseley,SFO,CHI,2018-12-23,2018,16,Injured Reserve,Arm,,
Emmanuel Moseley,SFO,LAR,2018-12-30,2018,17,Injured Reserve,Arm,,
Emmanuel Moseley,SFO,PHI,2020-10-04,2020,4,Out,Concussion,,
Emmanuel Moseley,SFO,MIA,2020-10-11,2020,5,Out,Concussion,,
Emmanuel Moseley,SFO,LAR,2020-10-18,2020,6,Questionable,Concussion,,
Emmanuel Moseley,SFO,BUF,2020-12-07,2020,13,Questionable,Hamstring,,
Emmanuel Moseley,SFO,WAS,2020-12-13,2020,14,Doubtful,Hamstring,,
Emmanuel Moseley,SFO,DAL,2020-12-20,2020,15,Questionable,Hamstring,,
Emmanuel Moseley,SFO,ARI,2020-12-26,2020,16,Questionable,Hamstring,,
Emmanuel Moseley,SFO,SEA,2021-01-03,2020,17,Questionable,Hamstring,,
