Player,Team,Opp,Date,Season,Week,Status,Injury,Specific_Inj,Side
Erik Swoope,IND,LAR,2017-09-10,2017,1,Injured Reserve,Knee,,
Erik Swoope,IND,ARI,2017-09-17,2017,2,Injured Reserve,Knee,,
Erik Swoope,IND,CLE,2017-09-24,2017,3,Injured Reserve,Knee,,
Erik Swoope,IND,SEA,2017-10-01,2017,4,Injured Reserve,Knee,,
Erik Swoope,IND,SFO,2017-10-08,2017,5,Injured Reserve,Knee,,
Erik Swoope,IND,TEN,2017-10-16,2017,6,Injured Reserve,Knee,,
Erik Swoope,IND,JAX,2017-10-22,2017,7,Injured Reserve,Knee,,
Erik Swoope,IND,CIN,2017-10-29,2017,8,Injured Reserve,Knee,,
Erik Swoope,IND,HOU,2017-11-05,2017,9,Injured Reserve,Knee,,
Erik Swoope,IND,PIT,2017-11-12,2017,10,Injured Reserve,Knee,,
Erik Swoope,IND,TEN,2017-11-26,2017,12,Injured Reserve,Knee,,
Erik Swoope,IND,JAX,2017-12-03,2017,13,Injured Reserve,Knee,,
Erik Swoope,IND,BUF,2017-12-10,2017,14,Injured Reserve,Knee,,
Erik Swoope,IND,DEN,2017-12-14,2017,15,Injured Reserve,Knee,,
Erik Swoope,IND,BAL,2017-12-23,2017,16,Injured Reserve,Knee,,
Erik Swoope,IND,HOU,2017-12-31,2017,17,Injured Reserve,Knee,,
Erik Swoope,IND,BUF,2018-10-21,2018,7,Questionable,Knee,,
Erik Swoope,IND,OAK,2018-10-28,2018,8,Out,Knee,,
Erik Swoope,IND,JAX,2018-11-11,2018,10,Out,Knee,,
Erik Swoope,IND,TEN,2018-11-18,2018,11,Out,Knee,,
Erik Swoope,IND,MIA,2018-11-25,2018,12,Out,Knee,,
Erik Swoope,IND,JAX,2018-12-02,2018,13,Questionable,Knee,,
