Player,Team,Opp,Date,Season,Week,Status,Injury,Specific_Inj,Side
Fred Ross,CAR,DAL,2018-09-09,2018,1,Injured Reserve,Hip,,
Fred Ross,CAR,ATL,2018-09-16,2018,2,Injured Reserve,Hip,,
Fred Ross,CAR,CIN,2018-09-23,2018,3,Injured Reserve,Hip,,
Fred Ross,CAR,NYG,2018-10-07,2018,5,Injured Reserve,Hip,,
Fred Ross,CAR,WAS,2018-10-14,2018,6,Injured Reserve,Hip,,
Fred Ross,CAR,PHI,2018-10-21,2018,7,Injured Reserve,Hip,,
Fred Ross,CAR,BAL,2018-10-28,2018,8,Injured Reserve,Hip,,
Fred Ross,CAR,TAM,2018-11-04,2018,9,Injured Reserve,Hip,,
Fred Ross,CAR,PIT,2018-11-08,2018,10,Injured Reserve,Hip,,
Fred Ross,CAR,DET,2018-11-18,2018,11,Injured Reserve,Hip,,
Fred Ross,CAR,SEA,2018-11-25,2018,12,Injured Reserve,Hip,,
Fred Ross,CAR,TAM,2018-12-02,2018,13,Injured Reserve,Hip,,
Fred Ross,CAR,CLE,2018-12-09,2018,14,Injured Reserve,Hip,,
Fred Ross,CAR,NOR,2018-12-17,2018,15,Injured Reserve,Hip,,
Fred Ross,CAR,ATL,2018-12-23,2018,16,Injured Reserve,Hip,,
Fred Ross,CAR,NOR,2018-12-30,2018,17,Injured Reserve,Hip,,
