Player,Team,Opp,Date,Season,Week,Status,Injury,Specific_Inj,Side
Gabe Holmes,OAK,NOR,2016-09-11,2016,1,Injured Reserve,Ankle,,
Gabe Holmes,OAK,ATL,2016-09-18,2016,2,Injured Reserve,Ankle,,
Gabe Holmes,OAK,TEN,2016-09-25,2016,3,Injured Reserve,Ankle,,
Gabe Holmes,OAK,BAL,2016-10-02,2016,4,Injured Reserve,Ankle,,
Gabe Holmes,OAK,SDG,2016-10-09,2016,5,Injured Reserve,Ankle,,
Gabe Holmes,OAK,KAN,2016-10-16,2016,6,Injured Reserve,Ankle,,
Gabe Holmes,OAK,JAX,2016-10-23,2016,7,Injured Reserve,Ankle,,
Gabe Holmes,OAK,TAM,2016-10-30,2016,8,Injured Reserve,Ankle,,
Gabe Holmes,OAK,DEN,2016-11-06,2016,9,Injured Reserve,Ankle,,
Gabe Holmes,OAK,HOU,2016-11-21,2016,11,Injured Reserve,Ankle,,
Gabe Holmes,OAK,CAR,2016-11-27,2016,12,Injured Reserve,Ankle,,
Gabe Holmes,OAK,BUF,2016-12-04,2016,13,Injured Reserve,Ankle,,
Gabe Holmes,OAK,KAN,2016-12-08,2016,14,Injured Reserve,Ankle,,
Gabe Holmes,OAK,SDG,2016-12-18,2016,15,Injured Reserve,Ankle,,
Gabe Holmes,OAK,IND,2016-12-24,2016,16,Injured Reserve,Ankle,,
Gabe Holmes,OAK,DEN,2017-01-01,2016,17,Injured Reserve,Ankle,,
