Player,Team,Opp,Date,Season,Week,Status,Injury,Specific_Inj,Side
Garrett Graham,DEN,CAR,2016-09-08,2016,1,Injured Reserve,Shoulder,,
Garrett Graham,DEN,IND,2016-09-18,2016,2,Injured Reserve,Shoulder,,
Garrett Graham,DEN,CIN,2016-09-25,2016,3,Injured Reserve,Shoulder,,
Garrett Graham,DEN,TAM,2016-10-02,2016,4,Injured Reserve,Shoulder,,
Garrett Graham,DEN,ATL,2016-10-09,2016,5,Injured Reserve,Shoulder,,
Garrett Graham,DEN,SDG,2016-10-13,2016,6,Injured Reserve,Shoulder,,
Garrett Graham,DEN,HOU,2016-10-24,2016,7,Injured Reserve,Shoulder,,
Garrett Graham,DEN,SDG,2016-10-30,2016,8,Injured Reserve,Shoulder,,
Garrett Graham,DEN,OAK,2016-11-06,2016,9,Injured Reserve,Shoulder,,
Garrett Graham,DEN,NOR,2016-11-13,2016,10,Injured Reserve,Shoulder,,
Garrett Graham,DEN,KAN,2016-11-27,2016,12,Injured Reserve,Shoulder,,
Garrett Graham,DEN,JAX,2016-12-04,2016,13,Injured Reserve,Shoulder,,
Garrett Graham,DEN,TEN,2016-12-11,2016,14,Injured Reserve,Shoulder,,
Garrett Graham,DEN,NWE,2016-12-18,2016,15,Injured Reserve,Shoulder,,
Garrett Graham,DEN,KAN,2016-12-25,2016,16,Injured Reserve,Shoulder,,
Garrett Graham,DEN,OAK,2017-01-01,2016,17,Injured Reserve,Shoulder,,
