Player,Team,Opp,Date,Season,Week,Status,Injury,Specific_Inj,Side
Garrison Smith,SEA,ATL,2016-10-16,2016,6,Questionable,oblique,,
Garrison Smith,SEA,ARI,2016-10-23,2016,7,Injured Reserve,Undisclosed,,
Garrison Smith,SEA,NOR,2016-10-30,2016,8,Injured Reserve,Undisclosed,,
Garrison Smith,SEA,BUF,2016-11-07,2016,9,Injured Reserve,Undisclosed,,
Garrison Smith,SEA,NWE,2016-11-13,2016,10,Injured Reserve,Undisclosed,,
Garrison Smith,SEA,PHI,2016-11-20,2016,11,Injured Reserve,Undisclosed,,
Garrison Smith,SEA,TAM,2016-11-27,2016,12,Injured Reserve,Undisclosed,,
Garrison Smith,SEA,CAR,2016-12-04,2016,13,Injured Reserve,Undisclosed,,
Garrison Smith,SEA,GNB,2016-12-11,2016,14,Injured Reserve,Undisclosed,,
Garrison Smith,SEA,LAR,2016-12-15,2016,15,Injured Reserve,Undisclosed,,
Garrison Smith,SEA,ARI,2016-12-24,2016,16,Injured Reserve,Undisclosed,,
Garrison Smith,SEA,SFO,2017-01-01,2016,17,Injured Reserve,Undisclosed,,
