Player,Team,Opp,Date,Season,Week,Status,Injury,Specific_Inj,Side
George Johnson,TAM,ATL,2016-09-11,2016,1,Injured Reserve,Hip,,
George Johnson,TAM,ARI,2016-09-18,2016,2,Injured Reserve,Hip,,
George Johnson,TAM,LAR,2016-09-25,2016,3,Injured Reserve,Hip,,
George Johnson,TAM,DEN,2016-10-02,2016,4,Injured Reserve,Hip,,
George Johnson,TAM,CAR,2016-10-10,2016,5,Injured Reserve,Hip,,
George Johnson,TAM,SFO,2016-10-23,2016,7,Injured Reserve,Hip,,
George Johnson,TAM,OAK,2016-10-30,2016,8,Injured Reserve,Hip,,
George Johnson,TAM,ATL,2016-11-03,2016,9,Injured Reserve,Hip,,
George Johnson,TAM,CHI,2016-11-13,2016,10,Injured Reserve,Hip,,
George Johnson,TAM,KAN,2016-11-20,2016,11,Injured Reserve,Hip,,
George Johnson,TAM,SEA,2016-11-27,2016,12,Injured Reserve,Hip,,
George Johnson,TAM,SDG,2016-12-04,2016,13,Injured Reserve,Hip,,
George Johnson,TAM,NOR,2016-12-11,2016,14,Injured Reserve,Hip,,
George Johnson,TAM,DAL,2016-12-18,2016,15,Injured Reserve,Hip,,
George Johnson,TAM,NOR,2016-12-24,2016,16,Injured Reserve,Hip,,
George Johnson,TAM,CAR,2017-01-01,2016,17,Injured Reserve,Hip,,
