Player,Team,Opp,Date,Season,Week,Status,Injury,Specific_Inj,Side
George Kittle,SFO,LAR,2017-09-21,2017,3,Questionable,Hip,,
George Kittle,SFO,NYG,2017-11-12,2017,10,Out,Ankle,,
George Kittle,SFO,GNB,2018-10-15,2018,6,Questionable,Knee,,
George Kittle,SFO,LAR,2019-10-13,2019,6,Questionable,Groin,,
George Kittle,SFO,SEA,2019-11-11,2019,10,Doubtful,Knee,,
George Kittle,SFO,ARI,2019-11-17,2019,11,Doubtful,Knee,,
George Kittle,SFO,GNB,2019-11-24,2019,12,Questionable,Knee,,
George Kittle,SFO,NYJ,2020-09-20,2020,2,Out,Knee,,
George Kittle,SFO,NYG,2020-09-27,2020,3,Out,Knee,,
George Kittle,SFO,GNB,2020-11-05,2020,9,Out,Foot,,
George Kittle,SFO,NOR,2020-11-15,2020,10,Injured Reserve,,,
George Kittle,SFO,LAR,2020-11-29,2020,12,Injured Reserve,,,
George Kittle,SFO,BUF,2020-12-07,2020,13,Injured Reserve,,,
George Kittle,SFO,WAS,2020-12-13,2020,14,Injured Reserve,,,
George Kittle,SFO,DAL,2020-12-20,2020,15,Injured Reserve,,,
George Kittle,SFO,ARI,2020-12-26,2020,16,Injured Reserve,,,
