Player,Team,Opp,Date,Season,Week,Status,Injury,Specific_Inj,Side
Hunter Bryant,DET,CHI,2020-09-13,2020,1,Out,Hamstring,,
Hunter Bryant,DET,GNB,2020-09-20,2020,2,Out,Hamstring,,
Hunter Bryant,DET,ARI,2020-09-27,2020,3,Out,Hamstring,,
Hunter Bryant,DET,NOR,2020-10-04,2020,4,Questionable,Hamstring,,
Hunter Bryant,DET,JAX,2020-10-18,2020,6,Injured Reserve,,,
Hunter Bryant,DET,ATL,2020-10-25,2020,7,Injured Reserve,,,
Hunter Bryant,DET,IND,2020-11-01,2020,8,Injured Reserve,,,
Hunter Bryant,DET,MIN,2020-11-08,2020,9,Injured Reserve,,,
Hunter Bryant,DET,WAS,2020-11-15,2020,10,Injured Reserve,,,
Hunter Bryant,DET,CAR,2020-11-22,2020,11,Injured Reserve,,,
Hunter Bryant,DET,HOU,2020-11-26,2020,12,Injured Reserve,,,
